weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2025-03-01,3.1 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Upper-Level Cyclonic Circulation,2025-03-01,1.5 km,East Uttar Pradesh
Trough,2025-03-01,0.9 km,East Uttar Pradesh ; Madhya Maharashtra
Trough,2025-03-01,3.1 km,Assam & Meghalaya ; Arunachal Pradesh
Upper-Level Cyclonic Circulation,2025-03-01,0.9 km,SW Bay
Easterly Trough,2025-03-01,0.9 km,SW Bay ; Lakshadweep
Western Disturbances (WD),2025-03-02,5.8 km,Far West Pakistan
Upper-Level Cyclonic Circulation,2025-03-02,5.8 km,Comorin Area
Easterly Trough,2025-03-02,0.9 km,Comorin Area ; Lakshadweep
Cyclonic Circulation (CYCIR),2025-03-02,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-02,3.1 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Western Disturbances (WD),2025-03-03,5.8 km,Southwest Pakistan
Upper-Level Cyclonic Circulation,2025-03-03,5.8 km,west Equatorial Indian Ocean & adjoining Maldives area
Cyclonic Circulation (CYCIR),2025-03-03,0.9 km,Gulf of Mannar
Cyclonic Circulation (CYCIR),2025-03-03,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-04,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-03-04,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-03-05,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-05,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-03-06,1.5 km,Assam & Meghalaya
Trough,2025-03-06,1.5 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh
Trough,2025-03-07,1.5 km,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Cyclonic Circulation (CYCIR),2025-03-08,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-03-08,0.9 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2025-03-09,3.1 km to 9.6 km,Iraq
Upper-Level Cyclonic Circulation,2025-03-09,5.8 km,SE Bay
Upper-Level Cyclonic Circulation,2025-03-09,1.5 km,Bangladesh
Western Disturbances (WD),2025-03-10,5.8 km to 9.6 km,Iran
Cyclonic Circulation (CYCIR),2025-03-10,1.5 km,West Rajasthan
Easterly Trough,2025-03-10,0.9 km,"West Madhya Pradesh ; Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2025-03-10,1.5 km,SW Bay
Cyclonic Circulation (CYCIR),2025-03-10,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-11,3.1 km to 9.6 km,Iran
Cyclonic Circulation (CYCIR),2025-03-11,1.5 km,West Rajasthan
