date,weather_system,region,height_km,subdivisions
29-06-2025,cyclonic circulation ,Northwest Bay of Bengal and adjoining West Bengal and Bangladesh coasts ,7.6 km,NW Bay
29-06-2025,The east-west trough ,"south Rajasthan & adjoining north Gujarat;  northwest Bay of Bengal and adjoining West Bengal and Bangladesh coasts across Madhya Pradesh, north Chhattisgarh and north Odisha",3.1 to 5.8 km,West Rajasthan ; NW Bay
29-06-2025,upper air cyclonic circulation ,north Haryana & neighbourhood ,1.5 km,"Haryana, Chandigarh & Delhi"
29-06-2025,cyclonic circulation ,central parts of south Uttar Pradesh ,1.5 km,West Uttar Pradesh ; East Uttar Pradesh
29-06-2025,upper air cyclonic circulation ,central parts of north Arabian Sea ,5.8 km ,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea
21-02-2025,cyclonic circulation ,over west Rajasthan & neighbourhood ;Haryana & neighbourhood ,1.5 km,"West Rajasthan ; Haryana, Chandigarh & Delhi"
21-02-2025,trough,Rayalaseema to south Chhattisgarh ,0.9 km,Chhattisgarh
21-02-2025,cyclonic circulation ,central Assam & neighbourhood lay over Nagaland & neighbourhood,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
21-02-2025,Western Disturbance ,north Pakistan & neighbourhood ,3.1 to 4.5 km,North pakistan
21-02-2025,trough ,along Long. 70°E to the north of Lat. 32°N,5.8 km,North pakistan
15-09-2024,Monsoon trough ,"Firozpur, Patiala, Shahjahanpur, Balia, the centre of Deep depression over Gangetic West Bengal and thence south-southeastwards to northeast Bay of Bengal",surface,NE Bay
15-09-2024,Western Disturbance ,along Long. 70°E to the north of Lat. 30°N,5.8 km,Pakistan ; North pakistan
15-09-2024,cyclonic circulation,north Haryana & neighbourhood,1.5 km,"Haryana, Chandigarh & Delhi"
15-09-2024,cyclonic circulation,over northwest Uttar Pradesh & adjoining Haryana ; Uttarakhand,4.5 km,West Uttar Pradesh ; Uttarakhand
17-07-2024,trough,"Jaisalmer, Kota, Guna, Narsinghpur, Rajnandgaon, Kalingapatnam ",1.5 km,"West Rajasthan, East Rajasthan, West Madhya Pradesh, East Madhya Pradesh, Chhattisgarh, Coastal Andhra Pradesh, WC Bay"
17-07-2024,cyclonic circulation,northeast Assam & neighbourhood ,1.5 km,Assam & Meghalaya
17-07-2024,off-shore trough ,along south Gujarat-north Kerala coasts ,surface,Gujarat Region
17-07-2024,western disturbance ,roughly along Long. 72°E to the north of Lat. 32°N,5.8 km,North pakistan ; Jammu & Kashmir
17-07-2024,cyclonic circulation,over Saurashtra & Kutch and neighbourhood ,0.9 km,Saurashtra & Kutch
26-07-2024,Low Pressure ,north Bay of Bengal and adjoining coastal areas of Bangladesh and Gangetic West Bengal,7.6 km,Gangetic West Bengal
26-07-2024,Monsoon trough ,"Shri Ganganagar, Rohtak, Delhi, Agra, Siddhi, Daltonganj, Asansol",surface,"Haryana, Chandigarh & Delhi"
26-07-2024,off-shore trough ,south Gujarat-north Kerala coasts ,surface,Gujarat Region
30-07-2024,Monsoon trough,"Jaisalmer, Ajmer, Gwalior, Churk, Balasore and thence east-southeastwards to northeast Bay of Bengal ",surface to 1.5 km,NE Bay
30-07-2024,cyclonic circulation ,northeast Arabian Sea and adjoining Saurashtra,3.1 to 7.6 km,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea
30-07-2024,off-shore trough ,level along South Gujarat to Kerala coast,surface,Gujarat Region
30-07-2024,cyclonic circulation,Himachal Pradesh & neighbourhood ,3.1 km,Himachal Pradesh
30-07-2024,cyclonic circulation,Jharkhand & neighbourhood,3.1 to 7.6 km,Jharkhand
30-07-2024,cyclonic circulation,northeast Assam & neighbourhood ,1.5 & 3.1 km ,Assam & Meghalaya
30-07-2024,cyclonic circulation,over Bangladesh & neighbourhood ,3.1 km,Bangladesh
31-07-2024,Monsoon trough,"Ganganagar, Hissar, Delhi, Hardoi, Dehri, Purulia, Sagar Island and thence east-southeastwards to northeast Bay of Bengal",surface,NE Bay
31-07-2024,cyclonic circulation,Jharkhand & neighbourhood lay over Gangetic West Bengal & neighbourhood ,5.8 km,Gangetic West Bengal
31-07-2024,cyclonic circulation,northeast Assam & neighbourhood lay over south Assam,0.9 km,Assam & Meghalaya
31-07-2024,cyclonic circulation,northeast Arabian Sea and adjoining Saurashtra lay over north Arabian sea ,3.1 to 4.5 km,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea
31-07-2024,off-shore trough ,level along South Gujarat to Kerala coast,surface,Gujarat Region
