weather system,date,heightAboveMSL,Regions
Monsoon Trough with Extension and Tilt,09-07-2024,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; WC Bay ; EC Bay
Cyclonic Circulation (CYCIR),09-07-2024,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),09-07-2024,1.5 km,Gujarat Region
Offshore Trough,09-07-2024,Surface,Konkan & Goa ; Madhya Maharashtra ; Kerala
Mean Sea Level Trough,18-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; NE Bay ; WC Bay ; EC Bay
Cyclonic Circulation (CYCIR),18-07-2024,1.5 km,Saurashtra & Kutch ; NE Arabian Sea
Cyclonic Circulation (CYCIR),18-07-2024,1.5 km to 3.1 km,Assam & Meghalaya
Offshore Trough,18-07-2024,Surface,Konkan & Goa ; Coastal Karnataka ; Kerala
Western Disturbances (WD),18-07-2024,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Monsoon Trough with Extension and Tilt,20-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),20-07-2024,5.8 km,Saurashtra & Kutch
Offshore Trough,20-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka ; Kerala
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,Himachal Pradesh
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,Bihar ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,Assam & Meghalaya
Western Disturbances (WD),20-07-2024,5.8 km,West Pakistan ; South Pakistan
Mean Sea Level Trough,21-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),21-07-2024,3.1 km,NE Arabian Sea ; Saurashtra & Kutch
Offshore Trough,21-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),21-07-2024,1.5 km,Assam & Meghalaya
Western Disturbances (WD),21-07-2024,5.8 km,West Pakistan ; South Pakistan ; Central Pakistan
