weather system,date,heightAboveMSL,Regions,subdivisions
Cyclonic Circulation (CYCIR),01-07-2024,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),01-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),01-07-2024,1.5 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),01-07-2024,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),01-07-2024,3.1 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),01-07-2024,3.1 km to 7.6 km,Gujarat Region,Gujarat Region
Offshore Trough,01-07-2024,Surface,Madhya Maharashtra ; Konkan & Goa ; Kerala,Madhya Maharashtra ; Konkan & Goa ; Kerala
Trough,01-07-2024,0.9 km,"Punjab ; Nagaland, Manipur, Mizoram & Tripura ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya","Punjab ; Nagaland, Manipur, Mizoram & Tripura ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya"
Trough,01-07-2024,5.8 km,Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh,Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),02-07-2024,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),02-07-2024,1.5 km,Pakistan,Pakistan
Cyclonic Circulation (CYCIR),02-07-2024,3.1 km to 4.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),02-07-2024,4.5 km to 5.8 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),02-07-2024,5.8 km,Gujarat Region ; Saurashtra & Kutch,Gujarat Region ; Saurashtra & Kutch
Mean Sea Level Trough,02-07-2024,Surface,"Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Nagaland, Manipur, Mizoram & Tripura","Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,02-07-2024,Surface,Konkan & Goa ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Kerala,Konkan & Goa ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Kerala
Trough,02-07-2024,0.9 km,Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya,Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya
Trough,02-07-2024,3.1 km,East Madhya Pradesh ; Assam & Meghalaya,East Madhya Pradesh ; Assam & Meghalaya
