weather system,date,heightAboveMSL,Regions,subdivisions
Cyclonic Circulation (CYCIR),01-04-2025,0.9 km,Madhya Maharashtra,Madhya Maharashtra
Trough,01-04-2025,0.9 km,Chhattisgarh ; Vidarbha ; Marathwada ; Madhya Maharashtra,Chhattisgarh ; Vidarbha ; Marathwada ; Madhya Maharashtra
Trough,01-04-2025,0.9 km,Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Coastal Karnataka ; Tamil Nadu & Puducherry ; Comorin Area,Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Coastal Karnataka ; Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),01-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,01-04-2025,1.5 km to 3.1 km,SW Bay ; Tamil Nadu & Puducherry,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),02-04-2025,5.8 km,"Central Pakistan, North pakistan","Central Pakistan, North pakistan"
Cyclonic Circulation (CYCIR),02-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),02-04-2025,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Trough,02-04-2025,0.9 km,Sub-Himalayan West Bengal & Sikkim ; East Madhya Pradesh ; Bihar ; Chhattisgarh,Sub-Himalayan West Bengal & Sikkim ; East Madhya Pradesh ; Bihar ; Chhattisgarh
Cyclonic Circulation (CYCIR),02-04-2025,1.5 km,Chhattisgarh,Chhattisgarh
Cyclonic Circulation (CYCIR),02-04-2025,1.5 km,West Madhya Pradesh,West Madhya Pradesh
Cyclonic Circulation (CYCIR),02-04-2025,3.1 km,Comorin Area,Comorin Area
Easterly Trough,02-04-2025,0.9 km,Lakshadweep ; Konkan & Goa,Lakshadweep ; Konkan & Goa
Western Disturbances (WD),03-04-2025,5.8 km,"West Rajasthan,Punjab, Jammu & Kashmir","West Rajasthan,Punjab, Jammu & Kashmir"
Upper-Level Cyclonic Circulation,03-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,03-04-2025,0.9 km,Sub-Himalayan West Bengal & Sikkim ; Bangladesh,Sub-Himalayan West Bengal & Sikkim ; Bangladesh
Upper-Level Cyclonic Circulation,03-04-2025,0.9 km,Marathwada ; Madhya Maharashtra,Marathwada ; Madhya Maharashtra
Easterly Trough,03-04-2025,0.9 km,South Interior Karnataka ; West Madhya Pradesh ; Marathwada,South Interior Karnataka ; West Madhya Pradesh ; Marathwada
Upper-Level Cyclonic Circulation,03-04-2025,0.9 km,Coastal Andhra Pradesh ; Odisha,Coastal Andhra Pradesh ; Odisha
Upper-Level Cyclonic Circulation,03-04-2025,3.1 km,SE Arabian Sea,SE Arabian Sea
Trough,03-04-2025,3.1 km,SE Arabian Sea ; Kerala,SE Arabian Sea ; Kerala
Western Disturbances (WD),04-04-2025,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan
Upper-Level Cyclonic Circulation,04-04-2025,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),04-04-2025,0.9 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),04-04-2025,0.9 km,West Madhya Pradesh,West Madhya Pradesh
