weather system,date,heightAboveMSL,Regions
Mean Sea Level Trough,2021-07-01,0.9 km,West Uttar Pradesh ; Assam & Meghalaya ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2021-07-01,5.8 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; South Pakistan ; Far West Pakistan
Cyclonic Circulation (CYCIR),2021-07-01,2.1 km,North pakistan
Trough,2021-07-01,0.9 km,South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),2021-07-01,3.1 km,WC Arabian Sea
Cyclonic Circulation (CYCIR),2021-07-01,3.1 km,West Rajasthan ; East Rajasthan
Mean Sea Level Trough,2021-07-03,0.9 km,"West Rajasthan ; Nagaland, Manipur, Mizoram & Tripura ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya"
Western Disturbances (WD),2021-07-03,5.8 km,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),2021-07-03,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2021-07-03,3.1 km to 4.5 km,West Rajasthan
Trough,2021-07-03,1.5 km to 3.1 km,Bihar ; Odisha
Cyclonic Circulation (CYCIR),2021-07-03,0.9 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2021-07-03,3.1 km,Sri Lanka and neighbourhood
Mean Sea Level Trough,2021-07-04,0.9 km,"East Uttar Pradesh ; Nagaland, Manipur, Mizoram & Tripura ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya"
Western Disturbances (WD),2021-07-04,5.8 km,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2021-07-04,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2021-07-04,3.1 km to 4.5 km,East Rajasthan
Trough,2021-07-04,1.5 km,Bihar ; Odisha ; Jharkhand ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2021-07-04,1.5 km to 3.1 km,Sri Lanka and neighbourhood
Mean Sea Level Trough,2021-07-05,0.9 km,"West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Nagaland, Manipur, Mizoram & Tripura ; Assam & Meghalaya"
Western Disturbances (WD),2021-07-05,5.8 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2021-07-05,2.1 km,Saurashtra & Kutch ; West Rajasthan
Cyclonic Circulation (CYCIR),2021-07-05,1.5 km,Odisha ; Gangetic West Bengal
Trough,2021-07-05,1.5 km,Odisha ; Gangetic West Bengal ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2021-07-05,3.1 km to 4.5 km,Tamil Nadu & Puducherry
Trough,2021-07-05,0.9 km,Vidarbha ; Telangana ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2021-07-05,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2021-07-05,3.1 km to 3.6 km,East Rajasthan
Western Disturbances (WD),2021-07-06,3.1 km,Central Pakistan ; South Pakistan ; West Pakistan ; North Pakistan
Cyclonic Circulation (CYCIR),2021-07-06,2.1 km,NE Arabian Sea ; Saurashtra & Kutch ; Gujarat Region
Cyclonic Circulation (CYCIR),2021-07-06,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2021-07-06,0.9 km,East Uttar Pradesh
Trough,2021-07-06,0.9 km,North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Trough,2021-07-06,2.1 km,Bihar ; Coastal Andhra Pradesh ; Jharkhand ; Odisha
Western Disturbances (WD),2021-07-07,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),2021-07-07,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2021-07-07,0.9 km,East Uttar Pradesh
Trough,2021-07-07,3.1 km,Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; Bangladesh ; Bihar ; Jharkhand
Cyclonic Circulation (CYCIR),2021-07-07,1.5 km,Comorin Area
Trough,2021-07-07,1.5 km,Jharkhand ; Coastal Andhra Pradesh ; Odisha
Western Disturbances (WD),2021-07-08,5.8 km,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh
Cyclonic Circulation (CYCIR),2021-07-08,2.1 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2021-07-08,1.5 km,East Uttar Pradesh
Trough,2021-07-08,3.1 km,Odisha ; Gangetic West Bengal ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2021-07-08,4.5 km,NW Bay ; Odisha ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2021-07-08,3.1 km,West Rajasthan
Mean Sea Level Trough,2021-07-09,0.9 km,"Punjab ; NW Bay ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Odisha"
Western Disturbances (WD),2021-07-09,4.5 km to 5.8 km,East Rajasthan
Cyclonic Circulation (CYCIR),2021-07-09,1.5 km,Central Pakistan
Cyclonic Circulation (CYCIR),2021-07-09,5.8 km,Jharkhand
Mean Sea Level Trough,2021-07-10,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),2021-07-10,2.1 km to 3.6 km,Odisha
Western Disturbances (WD),2021-07-10,2.1 km,North pakistan
Mean Sea Level Trough,2021-07-11,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; Coastal Andhra Pradesh ; WC Bay ; NW Bay
Western Disturbances (WD),2021-07-11,2.1 km,North pakistan
Cyclonic Circulation (CYCIR),2021-07-11,1.5 km,West Rajasthan ; East Rajasthan
Mean Sea Level Trough,2021-07-12,1.5 km,Saurashtra & Kutch ; Gujarat Region ; NE Arabian Sea ; Madhya Maharashtra ; Vidarbha ; Chhattisgarh ; Coastal Andhra Pradesh ; WC Bay ; NW Bay ; Odisha
