weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2022-10-01,5.8 km,WC Bay ; Coastal Andhra Pradesh
Western Disturbances (WD),2022-10-01,3.1 km,West Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2022-10-02,5.8 km,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2022-10-02,5.8 km,NE Bay
Western Disturbances (WD),2022-10-02,3.1 km,Central Pakistan ; North Pakistan ; West Pakistan
Low Pressure (L) with associated CYCIR,2022-10-03,5.8 km,WC Bay
Trough,2022-10-03,5.8 km,WC Bay ; Bangladesh
Western Disturbances (WD),2022-10-03,3.1 km,North pakistan
Westerly Trough,2022-10-03,5.8 km,West Pakistan ; South Pakistan ; Saurashtra & Kutch ; Central Pakistan
Western Disturbances (WD),2022-10-03,3.1 km,Central Pakistan ; North Pakistan ; West Pakistan
Low Pressure (L) with associated CYCIR,2022-10-04,5.8 km,WC Bay ; Coastal Andhra Pradesh
Trough,2022-10-04,3.1 km,WC Bay ; Coastal Andhra Pradesh ; Odisha ; Chhattisgarh ; East Madhya Pradesh ; West Uttar Pradesh
Western Disturbances (WD),2022-10-04,5.8 km,North pakistan
Cyclonic Circulation (CYCIR),2022-10-05,3.1 km,Coastal Andhra Pradesh
Trough,2022-10-05,3.1 km,Coastal Andhra Pradesh ; Chhattisgarh ; East Madhya Pradesh ; West Uttar Pradesh ; East Uttar Pradesh ; Uttarakhand
Western Disturbances (WD),2022-10-05,5.8 km,Jammu & Kashmir ; Punjab ; Madhya Maharashtra ; Coastal Karnataka ; Haryana
Cyclonic Circulation (CYCIR),2022-10-05,4.5 km to 5.8 km,SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2022-10-06,3.1 km,Coastal Andhra Pradesh
Trough,2022-10-06,3.1 km,Coastal Andhra Pradesh ; Telangana ; Vidarbha ; West Madhya Pradesh ; West Uttar Pradesh ; East Uttar Pradesh
Western Disturbances (WD),2022-10-06,5.8 km,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2022-10-06,4.5 km to 5.8 km,SW Bay ; SE Bay
Western Disturbances (WD),2022-10-06,5.8 km,Jammu & Kashmir ; Punjab ; Madhya Maharashtra ; Coastal Karnataka ; Haryana
Cyclonic Circulation (CYCIR),2022-10-07,1.5 km to 3.1 km,Telangana ; Vidarbha
Trough,2022-10-07,1.5 km,Coastal Andhra Pradesh ; Uttarakhand ; Telangana ; Vidarbha ; West Madhya Pradesh ; West Uttar Pradesh
Western Disturbances (WD),2022-10-07,5.8 km,West Pakistan ; South Pakistan ; Saurashtra & Kutch ; Central Pakistan
Cyclonic Circulation (CYCIR),2022-10-07,3.1 km to 5.8 km,SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2022-10-07,3.1 km,Punjab
Trough,2022-10-07,0.9 km,Coastal Andhra Pradesh ; Gujarat Region ; Saurashtra & Kutch ; Telangana ; Madhya Maharashtra ; Marathwada
Cyclonic Circulation (CYCIR),2022-10-08,5.8 km,Gujrat Region
Trough,2022-10-08,1.5 km to 3.1 km,"Gujarat Region ; Punjab ; West Rajasthan ; Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2022-10-08,5.8 km,West Rajasthan ; North Pakistan ; Gujarat ; Konkan & Goa ; Saurashtra & Kutch
Western Disturbances (WD),2022-10-08,5.8 km,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2022-10-08,1.5 km to 5.8 km,SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2022-10-09,3.1 km,East Rajasthan
Western Disturbances (WD),2022-10-09,5.8 km,South Pakistan ; West Pakistan ; Saurashtra & Kutch ; Central Pakistan ; Gujarat
Trough,2022-10-09,3.1 km,East Rajasthan ; NE Arabian Sea ; Gujarat Region
Cyclonic Circulation (CYCIR),2022-10-09,5.8 km,SW Bay
Western Disturbances (WD),2022-10-09,5.8 km,Jammu & Kashmir ; Punjab ; Madhya Maharashtra ; Coastal Karnataka ; Haryana
Western Disturbances (WD),2022-10-10,5.8 km,South Pakistan ; West Pakistan ; Saurashtra & Kutch ; Central Pakistan ; Gujarat
Cyclonic Circulation (CYCIR),2022-10-10,1.5 km,"Haryana, Chandigarh & Delhi"
Trough,2022-10-10,1.5 km to 3.1 km,"Haryana, Chandigarh & Delhi ; Gujarat Region ; West Rajasthan ; East Rajasthan"
Cyclonic Circulation (CYCIR),2022-10-10,1.5 km,Tamil Nadu & Puducherry
Trough,2022-10-10,0.9 km,Tamil Nadu & Puducherry ; East Rajasthan ; Rayalaseema ; Telangana ; Vidarbha ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),2022-10-10,3.1 km,SW Bay
Western Disturbances (WD),2022-10-11,5.8 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Cyclonic Circulation (CYCIR),2022-10-11,3.1 km,"Punjab ; Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2022-10-11,1.5 km,Kerala
Cyclonic Circulation (CYCIR),2022-10-11,3.1 km,N Andaman Sea
Trough,2022-10-11,1.5 km,Kerala ; South Interior Karnataka ; North Interior Karnataka ; Marathwada ; Vidarbha ; West Madhya Pradesh
Western Disturbances (WD),2022-10-12,5.8 km,Haryana ; East Rajasthan ; West Madhya Pradesh ; North Interior Karnataka ; Punjab
Cyclonic Circulation (CYCIR),2022-10-12,1.5 km,Punjab
Cyclonic Circulation (CYCIR),2022-10-12,1.5 km,Comorin Area
Cyclonic Circulation (CYCIR),2022-10-12,1.5 km,N Andaman Sea
Western Disturbances (WD),2022-10-13,5.8 km,Haryana ; East Rajasthan ; West Madhya Pradesh ; North Interior Karnataka ; Punjab
Cyclonic Circulation (CYCIR),2022-10-13,1.5 km,Comorin Area
Cyclonic Circulation (CYCIR),2022-10-13,3.1 km,WC Bay ; EC Bay
Cyclonic Circulation (CYCIR),2022-10-13,3.1 km to 5.8 km,EC Arabian Sea ; Konkan & Goa
Cyclonic Circulation (CYCIR),2022-10-14,3.1 km,WC Bay ; SW Bay
Cyclonic Circulation (CYCIR),2022-10-14,5.8 km,EC Arabian Sea
Western Disturbances (WD),2022-10-14,5.8 km,Haryana ; East Rajasthan ; West Madhya Pradesh ; North Interior Karnataka ; Punjab
Cyclonic Circulation (CYCIR),2022-10-15,3.1 km,WC Bay ; Coastal Andhra Pradesh ; Tamil Nadu & Puducherry
