weather system,date,heightAboveMSL,Regions,subdivisions
Depression (D),2025-05-24,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea ; Konkan & Goa,EC Arabian Sea ; Konkan & Goa
Deep Depression (DD),2025-05-29,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NW Bay ; Gangetic West Bengal ; Bangladesh,NW Bay ; Gangetic West Bengal ; Bangladesh
Depression (D),2025-05-30,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Bangladesh,Bangladesh
Depression (D),2025-07-15,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,West Rajasthan,West Rajasthan
Depression (D),2025-07-17,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,East Uttar Pradesh,East Uttar Pradesh
Depression (D),2025-07-18,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,West Madhya Pradesh ; West Uttar Pradesh,West Madhya Pradesh ; West Uttar Pradesh
Depression (D),2025-07-19,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,West Rajasthan ; East Rajasthan,West Rajasthan ; East Rajasthan
Depression (D),2025-07-25,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Gangetic West Bengal ; NW Bay ; Bangladesh,Gangetic West Bengal ; NW Bay ; Bangladesh
Depression (D),2025-07-26,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Chhattisgarh ; Jharkhand,Chhattisgarh ; Jharkhand
Depression (D),2025-08-19,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Odisha,Odisha
Depression (D),2025-09-07,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Gujarat Region ; West Rajasthan,Gujarat Region ; West Rajasthan
Deep Depression (DD),2025-09-08,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Pakistan ; West Rajasthan ; Saurashtra & Kutch,Pakistan ; West Rajasthan ; Saurashtra & Kutch
Depression (D),2025-09-09,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Pakistan,Pakistan
Depression (D),2025-09-10,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NE Arabian Sea ; Pakistan,NE Arabian Sea ; Pakistan
Depression (D),2025-09-27,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Odisha,Odisha
Depression (D),2025-09-28,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Vidarbha ; Madhya Maharashtra,Vidarbha ; Madhya Maharashtra
Depression (D),2025-10-02,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NE Arabian Sea,NE Arabian Sea
Deep Depression (DD),2025-10-02,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Bay ; NW Bay,WC Bay ; NW Bay
Deep Depression (DD),2025-10-03,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NE Arabian Sea,NE Arabian Sea
Depression (D),2025-10-03,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Odisha,Odisha
Severe Cyclonic Storm (SCS) : 89 to 117 km/h,2025-10-04,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NW Arabian Sea ; NE Arabian Sea,NW Arabian Sea ; NE Arabian Sea
Cyclonic Storm (CS) : 63 to 88 km/h,2025-10-05,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NW Arabian Sea ; WC Arabian Sea,NW Arabian Sea ; WC Arabian Sea
Cyclonic Storm (CS) : 63 to 88 km/h,2025-10-06,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Arabian Sea ; NW Arabian Sea,WC Arabian Sea ; NW Arabian Sea
Depression (D),2025-10-07,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Arabian Sea ; NW Arabian Sea,WC Arabian Sea ; NW Arabian Sea
Depression (D),2025-10-22,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SE Arabian Sea,SE Arabian Sea
Depression (D),2025-10-23,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SE Arabian Sea,SE Arabian Sea
Depression (D),2025-10-24,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Depression (D),2025-10-25,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Depression (D),2025-10-25,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SE Bay,SE Bay
Deep Depression (DD),2025-10-26,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SE Bay,SE Bay
Depression (D),2025-10-26,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Cyclonic Storm (CS) : 63 to 88 km/h,2025-10-27,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay ; WC Bay,SW Bay ; WC Bay
Depression (D),2025-10-27,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Severe Cyclonic Storm (SCS) : 89 to 117 km/h,2025-10-28,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Bay,WC Bay
Depression (D),2025-10-28,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Deep Depression (DD),2025-10-29,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Coastal Andhra Pradesh ; Telangana,Coastal Andhra Pradesh ; Telangana
Depression (D),2025-10-29,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Depression (D),2025-10-30,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Depression (D),2025-10-31,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Depression (D),2025-11-25,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,"Strait of Malacca, near latitude 5.4°N and longitude 99.7°E",S Andaman Sea ; SE Bay
Cyclonic Storm (CS) : 63 to 88 km/h,2025-11-26,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,coastal areas of northeast Indonesia near latitude 4.9°N and longitude 97.8°E,S Andaman Sea ; SE Bay
Deep Depression (DD),2025-11-27,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Strait of Malacca,S Andaman Sea ; SE Bay
Deep Depression (DD),2025-11-27,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay,SW Bay
Cyclonic Storm (CS) : 63 to 88 km/h,2025-11-28,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay,SW Bay
Cyclonic Storm (CS) : 63 to 88 km/h,2025-11-29,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay,SW Bay
Cyclonic Storm (CS) : 63 to 88 km/h,2025-11-30,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay ; Tamil Nadu & Puducherry,SW Bay ; Tamil Nadu & Puducherry
Deep Depression (DD),2025-12-01,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Depression (D),2025-12-02,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Depression (D),2020-06-01,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea ; SE Arabian Sea,EC Arabian Sea ; SE Arabian Sea
Deep Depression (DD),2020-06-02,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Severe Cyclonic Storm (SCS) : 89 to 117 km/h,2020-06-03,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea,EC Arabian Sea
Depression (D),2020-06-04,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Vidarbha ; West Madhya Pradesh,Vidarbha ; West Madhya Pradesh
Depression (D),2020-03-13,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,North pakistan,North pakistan
Depression (D),2020-05-16,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SE Bay,SE Bay
Severe Cyclonic Storm (SCS) : 89 to 117 km/h,2020-05-17,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SE Bay,SE Bay
Extremely Severe Cyclonic Storm (ESCS) : 166 to 220 km/h,2020-05-18,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Bay ; SW Bay,WC Bay ; SW Bay
Super Cyclonic Storm (SuCS) : ≥ 221 km/h,2020-05-19,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Bay,WC Bay
Extremely Severe Cyclonic Storm (ESCS) : 166 to 220 km/h,2020-05-20,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NW Bay,NW Bay
Cyclonic Storm (CS) : 63 to 88 km/h,2020-05-21,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Bangladesh,Bangladesh
Depression (D),2020-05-30,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Far West Pakistan,Far West Pakistan
Depression (D),2020-05-31,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Far West Pakistan,Far West Pakistan
Depression (D),2020-10-11,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Bay,WC Bay
Depression (D),2020-10-12,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,WC Bay,WC Bay
Deep Depression (DD),2020-10-13,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,Coastal Andhra Pradesh ; Telangana,Coastal Andhra Pradesh ; Telangana
Depression (D),2020-10-14,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,North Interior Karnataka ; Madhya Maharashtra ; Telangana,North Interior Karnataka ; Madhya Maharashtra ; Telangana
Depression (D),2020-10-17,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea ; NE Arabian Sea,EC Arabian Sea ; NE Arabian Sea
Depression (D),2020-10-18,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,EC Arabian Sea ; WC Arabian Sea ; NW Arabian Sea,EC Arabian Sea ; WC Arabian Sea ; NW Arabian Sea
Depression (D),2020-10-22,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NW Bay ; WC Bay,NW Bay ; WC Bay
Depression (D),2020-10-23,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,NW Bay ; Gangetic West Bengal ; Bangladesh,NW Bay ; Gangetic West Bengal ; Bangladesh
Cyclonic Storm (CS) : 63 to 88 km/h,2020-11-22,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Arabian Sea,SW Arabian Sea
Cyclonic Storm (CS) : 63 to 88 km/h,2020-11-23,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Arabian Sea,SW Arabian Sea
Depression (D),2020-11-23,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay,SW Bay
Cyclonic Storm (CS) : 63 to 88 km/h,2020-11-24,Surface ; 925 hPa ; 850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hpa ; 300 hpa ; 200 hPa ; 100 hPa,SW Bay,SW Bay
