weather system,date,heightAboveMSL,Regions,subdivisions
Western Disturbances (WD),01-04-2023,3.1 km,Jammu & Kashmir,Jammu & Kashmir
Westerly Trough,01-04-2023,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; East Rajasthan ; Delhi,Jammu & Kashmir ; Punjab ; Haryana ; East Rajasthan ; Delhi
Cyclonic Circulation (CYCIR),01-04-2023,0.9 km,"East Rajasthan ; Haryana, Chandigarh & Delhi","East Rajasthan ; Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),01-04-2023,1.5 km,East Uttar Pradesh ; East Madhya Pradesh ; West Madhya Pradesh,East Uttar Pradesh ; East Madhya Pradesh ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),01-04-2023,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),01-04-2023,1.5 km,West Rajasthan,West Rajasthan
Trough,01-04-2023,0.9 km,Odisha ; North Interior Karnataka ; Coastal Andhra Pradesh ; Rayalaseema,Odisha ; North Interior Karnataka ; Coastal Andhra Pradesh ; Rayalaseema
Western Disturbances (WD),02-04-2023,5.8 km,Iran,Iran
Westerly Trough,02-04-2023,5.8 km,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),02-04-2023,1.5 km,West Rajasthan,West Rajasthan
Trough,02-04-2023,1.5 km,Chhattisgarh ; Tamil Nadu & Puducherry ; Telangana ; Coastal Andhra Pradesh ; Rayalaseema,Chhattisgarh ; Tamil Nadu & Puducherry ; Telangana ; Coastal Andhra Pradesh ; Rayalaseema
Western Disturbances (WD),03-04-2023,3.1 km to 7.6 km,Iran,Iran
Cyclonic Circulation (CYCIR),03-04-2023,1.5 km,West Rajasthan,West Rajasthan
Trough,03-04-2023,0.9 km,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),03-04-2023,0.9 km,Bangladesh,Bangladesh
Western Disturbances (WD),04-04-2023,5.8 km,Far West Pakistan ; West Pakistan,Far West Pakistan ; West Pakistan
Trough,04-04-2023,0.9 km,Jharkhand ; Odisha ; Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry,Jharkhand ; Odisha ; Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),04-04-2023,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),05-04-2023,5.8 km,West Pakistan,West Pakistan
Trough,05-04-2023,0.9 km,Chhattisgarh ; Vidarbha ; Telangana ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry,Chhattisgarh ; Vidarbha ; Telangana ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),05-04-2023,0.9 km,Bangladesh,Bangladesh
Trough,05-04-2023,0.9 km,Bangladesh ; Odisha,Bangladesh ; Odisha
Cyclonic Circulation (CYCIR),05-04-2023,1.5 km,West Rajasthan ; Pakistan,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),05-04-2023,0.9 km,West Madhya Pradesh ; East Madhya Pradesh,West Madhya Pradesh ; East Madhya Pradesh
Western Disturbances (WD),06-04-2023,5.8 km,North Pakistan ; Central Pakistan ; South Pakistan ; Jammu & Kashmir,North Pakistan ; Central Pakistan ; South Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),06-04-2023,1.5 km,North Interior Karnataka,North Interior Karnataka
Trough,06-04-2023,0.9 km,North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),06-04-2023,3.1 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),07-04-2023,1.5 km to 3.1 km,West Rajasthan ; East Rajasthan,West Rajasthan ; East Rajasthan
Trough,07-04-2023,0.9 km,West Madhya Pradesh ; East Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,West Madhya Pradesh ; East Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Western Disturbances (WD),07-04-2023,5.8 km,Gujarat ; West Rajasthan ; Saurashtra & Kutch ; North Pakistan ; Central Pakistan,Gujarat ; West Rajasthan ; Saurashtra & Kutch ; North Pakistan ; Central Pakistan
Easterly Trough,08-04-2023,1.5 km,Kerala ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka,Kerala ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),08-04-2023,5.8 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),08-04-2023,0.9 km,Bangladesh,Bangladesh
Easterly Trough,09-04-2023,0.9 km,Kerala ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada,Kerala ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Cyclonic Circulation (CYCIR),09-04-2023,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),09-04-2023,1.5 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),10-04-2023,1.5 km to 3.1 km,NE Arabian Sea ; Pakistan,NE Arabian Sea ; Pakistan
Easterly Trough,10-04-2023,0.9 km,Kerala ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka,Kerala ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),10-04-2023,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),10-04-2023,0.9 km,East Rajasthan ; West Rajasthan,East Rajasthan ; West Rajasthan
Cyclonic Circulation (CYCIR),10-04-2023,0.9 km,Gangetic West Bengal,Gangetic West Bengal
Cyclonic Circulation (CYCIR),11-04-2023,5.8 km,Pakistan,Pakistan
Easterly Trough,11-04-2023,0.9 km,Kerala ; Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka,Kerala ; Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Cyclonic Circulation (CYCIR),12-04-2023,4.5 km,West Rajasthan,West Rajasthan
Easterly Trough,12-04-2023,0.9 km,Vidarbha ; Coastal Karnataka ; Marathwada ; North Interior Karnataka ; South Interior Karnataka,Vidarbha ; Coastal Karnataka ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),13-04-2023,3.1 km,West Rajasthan,West Rajasthan
Trough,13-04-2023,0.9 km,Vidarbha ; Marathwada ; North Interior Karnataka ; Coastal Karnataka,Vidarbha ; Marathwada ; North Interior Karnataka ; Coastal Karnataka
Cyclonic Circulation (CYCIR),13-04-2023,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),14-04-2023,3.1 km,West Rajasthan,West Rajasthan
Trough,14-04-2023,0.9 km,Chhattisgarh ; Kerala ; Madhya Maharashtra ; Marathwada ; Telangana ; North Interior Karnataka ; South Interior Karnataka,Chhattisgarh ; Kerala ; Madhya Maharashtra ; Marathwada ; Telangana ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),14-04-2023,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),14-04-2023,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),15-04-2023,1.5 km to 3.1 km,West Rajasthan,West Rajasthan
Trough,15-04-2023,0.9 km,Jharkhand ; Tamil Nadu & Puducherry ; Odisha ; Coastal Andhra Pradesh,Jharkhand ; Tamil Nadu & Puducherry ; Odisha ; Coastal Andhra Pradesh
