weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2025-02-01,3.1 km to 7.6 km,North pakistan
Induced Cyclonic Circulation,2025-02-01,1.5 km,East Rajasthan
Cyclonic Circulation (CYCIR),2025-02-01,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-02,3.1 km to 5.8 km,North pakistan
Induced Cyclonic Circulation,2025-02-02,1.5 km,East Rajasthan
Western Disturbances (WD),2025-02-02,3.1 km to 7.6 km,Iran
Cyclonic Circulation (CYCIR),2025-02-02,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-03,3.1 km to 9.4 km,Iran
Cyclonic Circulation (CYCIR),2025-02-03,0.9 km,Gujarat Region
Cyclonic Circulation (CYCIR),2025-02-03,1.5 km,Bangladesh
Western Disturbances (WD),2025-02-05,5.8 km,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2025-02-05,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-02-05,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-06,3.1 km,North pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-06,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-07,3.1 km,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),2025-02-07,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-07,3.1 km,North pakistan ; Jammu & Kashmir
Western Disturbances (WD),2025-02-09,3.1 km to 5.8 km,north Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2025-02-09,1.5 km,Bangladesh
Induced Cyclonic Circulation,2025-02-09,1.5 km,West Rajasthan
Western Disturbances (WD),2025-02-10,3.1 km to 5.8 km,north Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2025-02-10,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-02-10,1.5 km to 3.1 km,Assam & Meghalaya
Induced Cyclonic Circulation,2025-02-10,1.5 km,West Rajasthan
Western Disturbances (WD),2025-02-11,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-02-11,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-12,3.1 km,Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-12,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-02-13,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-15,5.8 km,North Pakistan ; Jammu & Kashmir
Induced Cyclonic Circulation,2025-02-15,1.5 km,West Rajasthan ; Punjab ; Pakistan
Cyclonic Circulation (CYCIR),2025-02-15,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
Western Disturbances (WD),2025-02-16,5.8 km,North Pakistan
Induced Cyclonic Circulation,2025-02-16,1.5 km,"Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2025-02-16,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-17,3.1 km,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-17,0.9 km,West Madhya Pradesh
Cyclonic Circulation (CYCIR),2025-02-17,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-19,3.1 km,Jammu & Kashmir
Western Disturbances (WD),2025-02-19,3.1 km,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2025-02-19,1.5 km,Pakistan ; West Rajasthan
Trough,2025-02-19,0.9 km,Gangetic West Bengal ; Telangana
Cyclonic Circulation (CYCIR),2025-02-19,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-20,3.1 km to 4.5 km,North pakistan
Induced Cyclonic Circulation,2025-02-20,1.5 km,West Rajasthan
Trough,2025-02-20,1.5 km,Bangladesh ; Gangetic West Bengal ; Odisha ; Chhattisgarh ; Telangana
Cyclonic Circulation (CYCIR),2025-02-20,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-20,3.1 km,Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-22,1.5 km,North pakistan ; Jammu & Kashmir
Westerly Trough,2025-02-22,0.9 km,Gangetic West Bengal ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2025-02-22,1.5 km,Assam & Meghalaya
Easterly Trough,2025-02-22,0.9 km,Kerala ; Madhya Maharashtra
Western Disturbances (WD),2025-02-23,3.1 km to 9.6 km,Iran
Cyclonic Circulation (CYCIR),2025-02-23,1.5 km,North pakistan
Westerly Trough,2025-02-23,0.9 km,Gangetic West Bengal ; Chhattisgarh ; Odisha
Cyclonic Circulation (CYCIR),2025-02-23,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-24,3.1 km,Iran
Cyclonic Circulation (CYCIR),2025-02-24,1.5 km,Pakistan
Cyclonic Circulation (CYCIR),2025-02-24,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-25,3.1 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-02-25,1.5 km,West Rajasthan ; Pakistan
Upper-Level Cyclonic Circulation,2025-02-25,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-02-25,3.1 km,Kerala
Western Disturbances (WD),2025-02-26,3.1 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-02-26,0.9 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-02-27,5.8 km,Far West Pakistan
Induced Cyclonic Circulation,2025-02-27,1.5 km,West Rajasthan
Trough,2025-02-27,1.5 km,West Rajasthan ; NE Arabian Sea
Western Disturbances (WD),2025-02-28,3.1 km,Southwest Pakistan
Induced Low,2025-02-28,1.5 km,West Rajasthan ; Pakistan
Trough,2025-02-28,0.9 km,West Rajasthan ; Pakistan ; Madhya Maharashtra ; Gujarat Region
Cyclonic Circulation (CYCIR),2025-02-28,3.1 km,Assam & Meghalaya ; Arunachal Pradesh
Western Disturbances (WD),2025-02-04,3.1 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Induced Cyclonic Circulation,2025-02-04,1.5 km,West Rajasthan ; Central Pakistan
Trough,2025-02-04,1.5 km,West Rajasthan ; Central Pakistan ; NE Arabian Sea ; Gujarat Region
Cyclonic Circulation (CYCIR),2025-02-04,0.9 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2025-02-04,1.5 km,Bangladesh
