weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2025-01-01,3.1 km,east Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2025-01-01,0.9 km,SW Bay
Western Disturbances (WD),2025-01-01,3.1 km to 5.8 km,Iraq & neighbourhood
Western Disturbances (WD),2025-01-02,3.1 km,Jammu & Kashmir ; North pakistan
Western Disturbances (WD),2025-01-02,3.1 km to 5.8 km,Iran
Western Disturbances (WD),2025-01-03,3.1 km to 9.4 km,Iran
Western Disturbances (WD),2025-01-04,5.8 km,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2025-01-04,3.1 km to 9.4 km,Afghanistan & neighbourhood
Induced Cyclonic Circulation,2025-01-04,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-01-05,3.1 km to 12.6 km,West Pakistan ; South Pakistan ; Saurashtra & Kutch ; Central Pakistan
Induced Cyclonic Circulation,2025-01-05,1.5 km,West Rajasthan ; East Rajasthan
Trough,2025-01-05,1.5 km,Punjab ; WC Arabian Sea ; West Rajasthan ; East Rajasthan
Western Disturbances (WD),2025-01-06,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-01-06,1.5 km,East Rajasthan
Cyclonic Circulation (CYCIR),2025-01-06,0.9 km,Madhya Maharashtra
Cyclonic Circulation (CYCIR),2025-01-06,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-06,1.5 km,SE Bay
Trough,2025-01-06,1.5 km,SE Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2025-01-07,5.8 km,East Uttar Pradesh ; Bihar ; Uttarakhand ; West Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Induced Cyclonic Circulation,2025-01-07,0.9 km,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2025-01-07,0.9 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-07,1.5 km,SE Bay
Trough,2025-01-07,1.5 km,SE Bay ; Kerala ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2025-01-07,0.9 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2025-01-08,5.8 km,Assam & Meghalaya ; Arunachal Pradesh
Cyclonic Circulation (CYCIR),2025-01-08,0.9 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-08,1.5 km,SE Bay
Cyclonic Circulation (CYCIR),2025-01-08,3.1 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2025-01-09,3.1 km to 5.8 km,Iran
Cyclonic Circulation (CYCIR),2025-01-09,3.1 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2025-01-09,3.1 km,SE Bay
Cyclonic Circulation (CYCIR),2025-01-09,1.5 km,Bangladesh
Western Disturbances (WD),2025-01-09,5.8 km,Assam & Meghalaya ; Arunachal Pradesh
Western Disturbances (WD),2025-01-10,3.1 km to 9.4 km,Iran
Cyclonic Circulation (CYCIR),2025-01-10,3.1 km,SE Bay ; SW Bay
Cyclonic Circulation (CYCIR),2025-01-10,1.5 km,West Rajasthan
Western Disturbances (WD),2025-01-11,3.1 km to 9.4 km,Central Pakistan
Induced Cyclonic Circulation,2025-01-11,1.5 km,West Rajasthan
Trough,2025-01-11,1.5 km,West Rajasthan ; NE Arabian Sea
Cyclonic Circulation (CYCIR),2025-01-11,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-11,3.1 km,SW Bay ; SE Bay
Western Disturbances (WD),2025-01-12,3.1 km to 9.4 km,Punjab
Induced Cyclonic Circulation,2025-01-12,1.5 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2025-01-12,1.5 km,SW Bay
Cyclonic Circulation (CYCIR),2025-01-13,0.9 km,Comorin Area
Cyclonic Circulation (CYCIR),2025-01-13,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-01-14,0.9 km,SE Arabian Sea
Western Disturbances (WD),2025-01-14,3.1 km to 7.6 km,Iran
Western Disturbances (WD),2025-01-15,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-01-15,1.5 km,Punjab ; Pakistan
Cyclonic Circulation (CYCIR),2025-01-15,1.5 km,West Rajasthan
Western Disturbances (WD),2025-01-16,3.1 km to 4.5 km,North pakistan
Induced Cyclonic Circulation,2025-01-16,1.5 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2025-01-16,1.5 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2025-01-17,3.1 km,West Uttar Pradesh
Western Disturbances (WD),2025-01-17,3.1 km,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),2025-01-17,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-18,3.1 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-01-18,3.1 km,Assam & Meghalaya
Easterly Trough,2025-01-18,0.9 km,Gujarat Region ; Saurashtra & Kutch ; West Rajasthan ; East Rajasthan
Easterly Trough,2025-01-18,0.9 km,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2025-01-19,3.1 km,West Pakistan
Induced Cyclonic Circulation,2025-01-19,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-01-19,5.8 km,Far West Pakistan
Trough,2025-01-19,0.9 km,West Uttar Pradesh ; West Rajasthan
Cyclonic Circulation (CYCIR),2025-01-19,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-20,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-01-20,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-01-20,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-01-20,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-20,5.8 km,Gulf of Mannar
Western Disturbances (WD),2025-01-22,3.1 km,Punjab
Westerly Trough,2025-01-22,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana
Western Disturbances (WD),2025-01-22,5.8 km,West Pakistan
Induced Cyclonic Circulation,2025-01-22,1.5 km,"Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2025-01-22,0.9 km,East Rajasthan
Western Disturbances (WD),2025-01-23,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-01-23,0.9 km,West Madhya Pradesh
Cyclonic Circulation (CYCIR),2025-01-23,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-01-23,0.9 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2025-01-24,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-24,3.1 km,S Andaman Sea
Western Disturbances (WD),2025-01-24,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-01-25,3.1 km,Assam & Meghalaya
Easterly Trough,2025-01-25,1.5 km,NE Arabian Sea ; West Rajasthan ; East Rajasthan ; Gujarat Region
Cyclonic Circulation (CYCIR),2025-01-28,1.5 km to 3.1 km,Bangladesh
Western Disturbances (WD),2025-01-28,3.1 km to 9.4 km,Iran
Cyclonic Circulation (CYCIR),2025-01-29,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-29,3.1 km,west Afghanistan & neighbourhood
Westerly Trough,2025-01-29,5.8 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2025-01-29,1.5 km,"Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2025-01-31,3.1 km to 4.5 km,North pakistan
Cyclonic Circulation (CYCIR),2025-01-31,1.5 km,Assam & Meghalaya
Induced Cyclonic Circulation,2025-01-31,1.5 km,"Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2025-01-31,5.8 km,Southwest Pakistan
Easterly Trough,2025-01-31,0.9 km,SW Bay
Cyclonic Circulation (CYCIR),2025-01-31,0.9 km,Kerala
Western Disturbances (WD),2025-01-21,3.1 km,North pakistan
Westerly Trough,2025-01-21,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan
Western Disturbances (WD),2025-01-21,5.8 km,Far West Pakistan
Induced Cyclonic Circulation,2025-01-21,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2025-01-21,1.5 km to 3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-21,0.9 km,West Rajasthan
Western Disturbances (WD),2025-01-21,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-01-27,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-01-30,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-30,3.1 km,east Afghanistan & neighbourhood
Westerly Trough,2025-01-30,5.8 km,North Pakistan ; West Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Induced Cyclonic Circulation,2025-01-30,1.5 km,West Rajasthan
Easterly Trough,2025-01-30,0.9 km,SW Bay
