weather system,date,heightAboveMSL,Regions
Monsoon Trough with Extension and Tilt,2024-07-09,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; WC Bay ; EC Bay
Cyclonic Circulation (CYCIR),2024-07-09,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-07-09,1.5 km,Gujarat Region
Offshore Trough,2024-07-09,Surface,Konkan & Goa ; Madhya Maharashtra ; Kerala
Mean Sea Level Trough,2024-07-18,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; NE Bay ; WC Bay ; EC Bay
Cyclonic Circulation (CYCIR),2024-07-18,1.5 km,Saurashtra & Kutch ; NE Arabian Sea
Cyclonic Circulation (CYCIR),2024-07-18,1.5 km to 3.1 km,Assam & Meghalaya
Offshore Trough,2024-07-18,Surface,Konkan & Goa ; Coastal Karnataka ; Kerala
Western Disturbances (WD),2024-07-18,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Monsoon Trough with Extension and Tilt,2024-07-20,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),2024-07-20,5.8 km,Saurashtra & Kutch
Offshore Trough,2024-07-20,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka ; Kerala
Cyclonic Circulation (CYCIR),2024-07-20,1.5 km,Himachal Pradesh
Cyclonic Circulation (CYCIR),2024-07-20,1.5 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2024-07-20,1.5 km,Bihar ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-07-20,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2024-07-20,5.8 km,West Pakistan ; South Pakistan
Mean Sea Level Trough,2024-07-21,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),2024-07-21,3.1 km,NE Arabian Sea ; Saurashtra & Kutch
Offshore Trough,2024-07-21,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),2024-07-21,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2024-07-21,5.8 km,West Pakistan ; South Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2024-07-21,0.9 km,East Rajasthan ; West Rajasthan
Low Pressure (L) with associated CYCIR,2024-07-22,7.6 km,East Madhya Pradesh ; Chhattisgarh
Mean Sea Level Trough,2024-07-22,1.5 km,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),2024-07-22,0.9 km,Assam & Meghalaya
Western Disturbances (WD),2024-07-22,5.8 km,West Pakistan
Western Disturbances (WD),2024-07-22,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2024-07-24,7.6 km,Jharkhand
Cyclonic Circulation (CYCIR),2024-07-24,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-07-24,3.1 km,Gujarat Region
Mean Sea Level Trough,2024-07-25,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Cyclonic Circulation (CYCIR),2024-07-25,7.6 km,Gangetic West Bengal ; Bangladesh
Cyclonic Circulation (CYCIR),2024-07-25,1.5 km to 3.1 km,Assam & Meghalaya
Offshore Trough,2024-07-25,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),2024-07-25,1.5 km,West Uttar Pradesh
Low Pressure (L) with associated CYCIR,2024-07-26,7.6 km,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal
Mean Sea Level Trough,2024-07-26,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal"
Offshore Trough,2024-07-26,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Low Pressure (L) with associated CYCIR,2024-07-27,7.6 km,Gangetic West Bengal ; Odisha
Mean Sea Level Trough,2024-07-27,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; NW Bay ; NE Bay
Offshore Trough,2024-07-27,Surface,Konkan & Goa ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2024-07-27,1.5 km,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2024-07-28,7.6 km,Chhattisgarh
Cyclonic Circulation (CYCIR),2024-07-29,7.6 km,East Madhya Pradesh
Monsoon Trough with Extension and Tilt,2024-07-29,1.5 km,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; EC Bay
Offshore Trough,2024-07-29,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),2024-07-29,1.5 km,NE Arabian Sea ; Saurashtra & Kutch
Monsoon Trough with Extension and Tilt,2024-08-01,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; NE Bay"
Cyclonic Circulation (CYCIR),2024-08-01,7.6 km,Gangetic West Bengal ; Bangladesh
Trough,2024-08-01,0.9 km,Gangetic West Bengal ; Bangladesh ; Bihar
Cyclonic Circulation (CYCIR),2024-08-01,4.5 km,NE Arabian Sea ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),2024-08-01,0.9 km,East Rajasthan
Trough,2024-08-01,1.5 km to 3.1 km,West Uttar Pradesh ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2024-08-01,3.1 km to 5.8 km,Punjab
Offshore Trough,2024-08-01,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Low Pressure (L) with associated CYCIR,2024-08-02,7.6 km,Gangetic West Bengal ; Jharkhand
Trough,2024-08-02,0.9 km to 4.5 km,West Rajasthan ; East Rajasthan ; Assam & Meghalaya ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-08-02,0.9 km,"Nagaland, Manipur, Mizoram & Tripura"
Low Pressure (L) with associated CYCIR,2024-08-03,7.6 km,West Rajasthan
Trough,2024-08-03,0.9 km to 4.5 km,Bihar ; Jharkhand ; Assam & Meghalaya
