weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2025-06-02,3.1 km to 7.6 km,North pakistan ; Jammu & Kashmir
Upper-Level Cyclonic Circulation,2025-06-02,1.5 km,"Haryana, Chandigarh & Delhi"
Trough,2025-06-02,1.5 km,Assam & Meghalaya ; Bangladesh ; Nagaland-Manipur-Mizoram-Tripura ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim
Upper-Level Cyclonic Circulation,2025-06-02,1.5 km,Bihar
Trough,2025-06-02,0.9 km,East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya
Western Disturbances (WD),2025-06-03,3.1 km to 4.5 km,Punjab
Upper-Level Cyclonic Circulation,2025-06-03,1.5 km,West Uttar Pradesh
Trough,2025-06-03,1.5 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Bangladesh ; Arunachal Pradesh
Upper-Level Cyclonic Circulation,2025-06-03,0.9 km,Bihar
Upper-Level Cyclonic Circulation,2025-06-03,0.9 km,"Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2025-06-04,5.8 km,Haryana ; Punjab ; Delhi ; Jammu & Kashmir ; Himachal Pradesh
Upper-Level Cyclonic Circulation,2025-06-04,1.5 km,Punjab
Upper-Level Cyclonic Circulation,2025-06-04,0.9 km,Bangladesh
Upper-Level Cyclonic Circulation,2025-06-04,0.9 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-06-04,1.5 km to 3.1 km,Gujarat Region
Trough,2025-06-04,3.1 km,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Bangladesh
Western Disturbances (WD),2025-06-05,5.8 km,Himachal Pradesh ; Ladakh ; Delhi ; Uttarakhand ; West Uttar Pradesh
Upper-Level Cyclonic Circulation,2025-06-05,1.5 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2025-06-05,0.9 km,Bangladesh
