weather system,date,heightAboveMSL,Regions
Upper-Level Cyclonic Circulation,2025-05-01,0.9 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-05-01,1.5 km,East Rajasthan
Trough,2025-05-01,1.5 km,East Rajasthan ; Kerala ; West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Upper-Level Cyclonic Circulation,2025-05-01,3.1 km to 7.6 km,Bangladesh
Western Disturbances (WD),2025-05-02,5.8 km to 7.6 km,"Punjab ; West Rajasthan ; Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2025-05-02,0.9 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-05-02,1.5 km to 3.1 km,East Rajasthan ; West Madhya Pradesh
Trough,2025-05-02,1.5 km,"Punjab ; Haryana, Chandigarh & Delhi ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Kerala"
Trough,2025-05-02,1.5 km,East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal ; Bangladesh
Upper-Level Cyclonic Circulation,2025-05-02,3.1 km to 5.8 km,Bangladesh
Western Disturbances (WD),2025-05-03,3.1 km to 7.6 km,North pakistan
Upper-Level Cyclonic Circulation,2025-05-03,1.5 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-05-03,1.5 km,West Uttar Pradesh
Upper-Level Cyclonic Circulation,2025-05-03,0.9 km,East Rajasthan
Trough,2025-05-03,0.9 km,East Rajasthan ; Gujarat Region ; Saurashtra & Kutch ; Madhya Maharashtra ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Trough,2025-05-03,1.5 km,East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Odisha
Upper-Level Cyclonic Circulation,2025-05-03,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-05-03,1.5 km,Bangladesh
Western Disturbances (WD),2025-05-03,5.8 km to 7.6 km,"Punjab ; West Rajasthan ; Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2025-05-04,3.1 km to 9.4 km,North pakistan ; Punjab ; West Rajasthan
Upper-Level Cyclonic Circulation,2025-05-04,1.5 km,West Uttar Pradesh ; East Uttar Pradesh
Upper-Level Cyclonic Circulation,2025-05-04,0.9 km,Marathwada
Trough,2025-05-04,0.9 km,West Uttar Pradesh ; East Uttar Pradesh ; Tamil Nadu & Puducherry ; West Madhya Pradesh ; East Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Upper-Level Cyclonic Circulation,2025-05-04,0.9 km,NE Arabian Sea ; Gujarat Region ; Saurashtra & Kutch
Upper-Level Cyclonic Circulation,2025-05-04,1.5 km,Gangetic West Bengal
Trough,2025-05-04,0.9 km,Gangetic West Bengal ; Coastal Andhra Pradesh ; Odisha
Upper-Level Cyclonic Circulation,2025-05-04,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-05-04,3.1 km,Odisha
Western Disturbances (WD),2025-05-05,3.1 km to 7.6 km,North pakistan ; Punjab ; West Rajasthan
Trough,2025-05-05,0.9 km,East Madhya Pradesh ; Marathwada ; Telangana ; North Interior Karnataka ; South Interior Karnataka
Upper-Level Cyclonic Circulation,2025-05-05,1.5 km,Assam & Meghalaya
Trough,2025-05-05,1.5 km,East Rajasthan ; Bangladesh ; West Madhya Pradesh ; East Madhya Pradesh ; East Uttar Pradesh ; Jharkhand
Upper-Level Cyclonic Circulation,2025-05-05,1.5 km,East Rajasthan
Upper-Level Cyclonic Circulation,2025-05-05,1.5 km,Pakistan ; West Rajasthan
Upper-Level Cyclonic Circulation,2025-05-05,0.9 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2025-05-06,4.5 km to 9.4 km,West Rajasthan
Trough,2025-05-06,0.9 km,Telangana ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar
Trough,2025-05-06,0.9 km,East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Sikkim ; Bangladesh
Upper-Level Cyclonic Circulation,2025-05-06,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-05-06,3.1 km,East Rajasthan
Upper-Level Cyclonic Circulation,2025-05-06,1.5 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-05-06,0.9 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-05-06,0.9 km,Telangana
Western Disturbances (WD),2025-05-07,1.5 km to 7.6 km,West Madhya Pradesh
