weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2024-10-01,1.5 km,Comorin Area
Trough,2024-10-01,0.9 km,Comorin Area ; North Interior Karnataka ; Tamil Nadu & Puducherry
Trough,2024-10-01,3.1 km,Konkan & Goa ; East Madhya Pradesh ; Madhya Maharashtra ; Marathwada
Cyclonic Circulation (CYCIR),2024-10-01,4.5 km,Assam & Meghalaya
Trough,2024-10-02,1.5 km,Bangladesh ; N Andaman Sea
Cyclonic Circulation (CYCIR),2024-10-02,4.5 km,Maldives & neighbourhood
Trough,2024-10-03,0.9 km,Bihar ; N Andaman Sea ; Bangladesh ; EC Bay
Cyclonic Circulation (CYCIR),2024-10-03,4.5 km,Lakshadweep
Low Pressure (L) with associated CYCIR,2024-10-04,5.8 km,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2024-10-04,1.5 km,SE Arabian Sea
Trough,2024-10-04,0.9 km,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,2024-10-04,5.8 km,Bangladesh ; Sub-Himalayan West Bengal & Sikkim
Trough,2024-10-04,0.9 km,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Sub-Himalayan West Bengal & Sikkim ; Bihar
Upper-Level Cyclonic Circulation,2024-10-04,1.5 km,WC Bay ; SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2024-10-05,3.1 km,Gangetic West Bengal
Upper-Level Cyclonic Circulation,2024-10-05,1.5 km to 4.5 km,WC Bay
Cyclonic Circulation (CYCIR),2024-10-05,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2024-10-05,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-10-06,3.1 km,Gangetic West Bengal
Trough,2024-10-06,0.9 km,"Jharkhand ; Nagaland, Manipur, Mizoram & Tripura ; Gangetic West Bengal"
Upper-Level Cyclonic Circulation,2024-10-06,1.5 km to 5.8 km,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Trough,2024-10-06,0.9 km,SE Arabian Sea ; Rayalaseema ; Kerala ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2024-10-06,1.5 km to 3.1 km,North pakistan ; Punjab
Western Disturbances (WD),2024-10-06,5.8 km,North Pakistan
Cyclonic Circulation (CYCIR),2024-10-07,1.5 km,Kerala
Trough,2024-10-07,1.5 km,SW Bay ; Lakshadweep ; Tamil Nadu & Puducherry ; Kerala
Cyclonic Circulation (CYCIR),2024-10-07,1.5 km,Bangladesh ; Assam & Meghalaya
Western Disturbances (WD),2024-10-07,5.8 km,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2024-10-08,5.8 km,Lakshadweep ; SE Arabian Sea
Trough,2024-10-08,1.5 km,Tamil Nadu & Puducherry ; Kerala ; Lakshadweep ; SE Arabian Sea
Western Disturbances (WD),2024-10-08,1.5 km to 7.6 km,west Afghanistan & neighbourhood
Low Pressure (L) with associated CYCIR,2024-10-09,5.8 km,Lakshadweep ; SE Arabian Sea ; EC Arabian Sea
Trough,2024-10-09,1.5 km,Comorin Area ; Konkan & Goa
Cyclonic Circulation (CYCIR),2024-10-09,5.8 km,Sri Lanka & neighbourhood
Western Disturbances (WD),2024-10-09,3.1 km to 7.6 km,east Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2024-10-09,1.5 km,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-10,5.8 km,EC Arabian Sea ; Konkan & Goa
Cyclonic Circulation (CYCIR),2024-10-10,4.5 km,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2024-10-10,3.1 km,Jammu & Kashmir ; Pakistan
Cyclonic Circulation (CYCIR),2024-10-10,1.5 km,Assam & Meghalaya
