weather system,date,heightAboveMSL,Regions,subdivisions
Cyclonic Circulation (CYCIR),2024-10-01,1.5 km,Comorin Area,Comorin Area
Trough,2024-10-01,0.9 km,Comorin Area ; North Interior Karnataka ; Tamil Nadu & Puducherry,Comorin Area ; North Interior Karnataka ; Tamil Nadu & Puducherry
Trough,2024-10-01,3.1 km,Konkan & Goa ; East Madhya Pradesh ; Madhya Maharashtra ; Marathwada,Konkan & Goa ; East Madhya Pradesh ; Madhya Maharashtra ; Marathwada
Cyclonic Circulation (CYCIR),2024-10-01,4.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-10-02,1.5 km,Bangladesh ; N Andaman Sea,Bangladesh ; N Andaman Sea
Cyclonic Circulation (CYCIR),2024-10-02,4.5 km,Maldives & neighbourhood,Maldives & neighbourhood
Trough,2024-10-03,0.9 km,Bihar ; N Andaman Sea ; Bangladesh ; EC Bay,Bihar ; N Andaman Sea ; Bangladesh ; EC Bay
Cyclonic Circulation (CYCIR),2024-10-03,4.5 km,Lakshadweep,Lakshadweep
Low Pressure (L) with associated CYCIR,2024-10-04,5.8 km,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2024-10-04,1.5 km,SE Arabian Sea,SE Arabian Sea
Trough,2024-10-04,0.9 km,SE Arabian Sea ; Kerala,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,2024-10-04,5.8 km,Bangladesh ; Sub-Himalayan West Bengal & Sikkim,Bangladesh ; Sub-Himalayan West Bengal & Sikkim
Trough,2024-10-04,0.9 km,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Sub-Himalayan West Bengal & Sikkim ; Bihar,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Sub-Himalayan West Bengal & Sikkim ; Bihar
Upper-Level Cyclonic Circulation,2024-10-04,1.5 km,WC Bay ; SW Bay ; SE Bay,WC Bay ; SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2024-10-05,3.1 km,Gangetic West Bengal,Gangetic West Bengal
Upper-Level Cyclonic Circulation,2024-10-05,1.5 km to 4.5 km,WC Bay,WC Bay
Cyclonic Circulation (CYCIR),2024-10-05,1.5 km,North pakistan ; Punjab,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2024-10-05,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-10-06,3.1 km,Gangetic West Bengal,Gangetic West Bengal
Trough,2024-10-06,0.9 km,"Jharkhand ; Nagaland, Manipur, Mizoram & Tripura ; Gangetic West Bengal","Jharkhand ; Nagaland, Manipur, Mizoram & Tripura ; Gangetic West Bengal"
