weather system,date,heightAboveMSL,Regions,subdivisions
Western Disturbances (WD),2024-04-01,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Trough,2024-04-01,0.9 km,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; East Madhya Pradesh,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),2024-04-01,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-01,0.9 km,Bihar,Bihar
Trough,2024-04-02,0.9 km,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Western Disturbances (WD),2024-04-02,5.8 km,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2024-04-02,0.9 km,Bangladesh,Bangladesh
Trough,2024-04-02,0.9 km,Bangladesh ; Arunachal Pradesh ; Assam & Meghalaya,Bangladesh ; Arunachal Pradesh ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-02,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-04-03,5.8 km,West Pakistan,West Pakistan
Trough,2024-04-03,0.9 km,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Cyclonic Circulation (CYCIR),2024-04-03,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-04-03,0.9 km,West Rajasthan ; Pakistan,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),2024-04-03,0.9 km,Odisha,Odisha
Cyclonic Circulation (CYCIR),2024-04-03,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-04-04,5.8 km,West Pakistan,West Pakistan
Cyclonic Circulation (CYCIR),2024-04-04,0.9 km,Bangladesh,Bangladesh
Trough,2024-04-04,0.9 km,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha
Cyclonic Circulation (CYCIR),2024-04-04,0.9 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),2024-04-04,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-04-05,3.1 km,North pakistan,North pakistan
Westerly Trough,2024-04-05,5.8 km,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2024-04-05,0.9 km,Bangladesh,Bangladesh
