weather system,date,heightAboveMSL,Regions
Well Marked Low Pressure Area (WML) with associated CYCIR,01-10-2025,7.6 km,NE Arabian Sea ; Saurashtra & Kutch
Upper-Level Cyclonic Circulation,01-10-2025,5.8 km,EC Bay
Well Marked Low Pressure Area (WML) with associated CYCIR,01-10-2025,9.6 km,WC Bay
Upper-Level Cyclonic Circulation,01-10-2025,0.9 km,Bangladesh
Trough,01-10-2025,3.1 km,NE Arabian Sea ; Saurashtra & Kutch ; West Uttar Pradesh ; East Rajasthan
Upper-Level Cyclonic Circulation,01-10-2025,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,01-10-2025,3.1 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,01-10-2025,1.5 km,East Rajasthan
Upper-Level Cyclonic Circulation,01-10-2025,3.1 km to 7.6 km,WC Bay ; Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,02-10-2025,1.5 km to 3.1 km,West Uttar Pradesh ; East Uttar Pradesh
Upper-Level Cyclonic Circulation,02-10-2025,0.9 km,West Rajasthan
Upper-Level Cyclonic Circulation,02-10-2025,3.1 km,Arunachal Pradesh
Upper-Level Cyclonic Circulation,03-10-2025,0.9 km,West Rajasthan
Trough,03-10-2025,1.5 km to 3.1 km,Odisha ; West Madhya Pradesh ; Chhattisgarh
Western Disturbances (WD),03-10-2025,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir
Well Marked Low Pressure Area (WML) with associated CYCIR,04-10-2025,5.8 km,Jharkhand ; Bihar ; East Uttar Pradesh ; Chhattisgarh
Trough,04-10-2025,1.5 km to 5.8 km,Bihar ; Vidarbha ; Jharkhand ; East Uttar Pradesh ; Chhattisgarh
Trough,04-10-2025,1.5 km,South Interior Karnataka ; Comorin Area ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,04-10-2025,3.1 km,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,04-10-2025,0.9 km,Assam & Meghalaya
Western Disturbances (WD),04-10-2025,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan
Cyclonic Circulation (CYCIR),05-10-2025,4.5 km,Bihar
Upper-Level Cyclonic Circulation,05-10-2025,3.1 km,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),05-10-2025,5.8 km,Jammu & Kashmir
Trough,05-10-2025,1.5 km,Bihar ; Odisha ; Jharkhand
Trough,05-10-2025,0.9 km,Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry ; Comorin Area
Western Disturbances (WD),06-10-2025,3.1 km to 5.8 km,Pakistan
Westerly Trough,06-10-2025,7.6 km,Saurashtra & Kutch ; Central Pakistan ; South Pakistan ; West Pakistan ; Gujarat
Induced Cyclonic Circulation,06-10-2025,1.5 km,North pakistan
Upper-Level Cyclonic Circulation,06-10-2025,1.5 km,East Uttar Pradesh
Cyclonic Circulation (CYCIR),06-10-2025,1.5 km to 3.1 km,Bihar
Upper-Level Cyclonic Circulation,06-10-2025,1.5 km,Assam & Meghalaya
Western Disturbances (WD),07-10-2025,3.1 km to 5.8 km,North pakistan ; Jammu & Kashmir
Westerly Trough,07-10-2025,7.6 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Upper-Level Cyclonic Circulation,07-10-2025,9.6 km,"West Rajasthan ; Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,07-10-2025,0.9 km,Jharkhand
Upper-Level Cyclonic Circulation,07-10-2025,1.5 km,Assam & Meghalaya
Trough,07-10-2025,1.5 km,Odisha ; Telangana ; Chhattisgarh
Upper-Level Cyclonic Circulation,07-10-2025,1.5 km,Bangladesh
Upper-Level Cyclonic Circulation,07-10-2025,3.1 km,SW Bay ; Tamil Nadu & Puducherry
Trough,07-10-2025,3.1 km,SW Bay ; Tamil Nadu & Puducherry ; Coastal Karnataka ; Rayalaseema ; South Interior Karnataka
Well Marked Low Pressure Area (WML) with associated CYCIR,08-10-2025,5.8 km,WC Arabian Sea
Western Disturbances (WD),08-10-2025,4.5 km,"Haryana, Chandigarh & Delhi"
Westerly Trough,08-10-2025,5.8 km,Delhi ; Himachal Pradesh ; Ladakh ; Haryana ; Punjab
Upper-Level Cyclonic Circulation,08-10-2025,0.9 km,Bangladesh
Upper-Level Cyclonic Circulation,08-10-2025,0.9 km,Assam & Meghalaya
Trough,08-10-2025,0.9 km,Chhattisgarh ; Telangana ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,08-10-2025,1.5 km,Comorin Area
Well Marked Low Pressure Area (WML) with associated CYCIR,09-10-2025,5.8 km,WC Arabian Sea
Upper-Level Cyclonic Circulation,09-10-2025,5.8 km,Bangladesh
Trough,09-10-2025,0.9 km,Odisha ; Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry ; Comorin Area
Upper-Level Cyclonic Circulation,09-10-2025,3.1 km,Comorin Area
Upper-Level Cyclonic Circulation,09-10-2025,0.9 km,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,09-10-2025,1.5 km,Assam & Meghalaya
Western Disturbances (WD),09-10-2025,1.5 km to 4.5 km,West Uttar Pradesh
Westerly Trough,09-10-2025,5.8 km,Himachal Pradesh ; Ladakh ; Delhi ; Uttarakhand ; West Uttar Pradesh
Low Pressure (L) with associated CYCIR,10-10-2025,5.8 km,EC Arabian Sea
Upper-Level Cyclonic Circulation,10-10-2025,1.5 km to 5.8 km,Bangladesh
Upper-Level Cyclonic Circulation,10-10-2025,4.5 km,Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,10-10-2025,0.9 km,Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,10-10-2025,0.9 km,Assam & Meghalaya
Western Disturbances (WD),10-10-2025,3.1 km,"Haryana, Chandigarh & Delhi"
Westerly Trough,10-10-2025,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; Himachal Pradesh ; Ladakh
Low Pressure (L) with associated CYCIR,11-10-2025,4.5 km,WC Arabian Sea
Upper-Level Cyclonic Circulation,11-10-2025,1.5 km,Assam & Meghalaya
Westerly Trough,11-10-2025,3.1 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Bangladesh ; Arunachal Pradesh
Upper-Level Cyclonic Circulation,11-10-2025,3.1 km,Bangladesh ; NW Bay ; NE Bay
Upper-Level Cyclonic Circulation,11-10-2025,3.1 km,Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,11-10-2025,3.1 km,Kerala
Western Disturbances (WD),11-10-2025,3.1 km to 4.5 km,West Uttar Pradesh
Westerly Trough,11-10-2025,5.8 km,Uttarakhand ; Himachal Pradesh ; Ladakh
Upper-Level Cyclonic Circulation,12-10-2025,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,12-10-2025,1.5 km,"Bangladesh ; Nagaland, Manipur, Mizoram & Tripura"
Upper-Level Cyclonic Circulation,12-10-2025,1.5 km,"Bangladesh ; Nagaland, Manipur, Mizoram & Tripura"
Upper-Level Cyclonic Circulation,12-10-2025,5.8 km,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,12-10-2025,3.1 km,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,13-10-2025,1.5 km to 3.1 km,West Uttar Pradesh ; East Uttar Pradesh
Upper-Level Cyclonic Circulation,13-10-2025,0.9 km,Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,13-10-2025,3.1 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,13-10-2025,1.5 km to 3.1 km,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,13-10-2025,1.5 km,WC Arabian Sea
Upper-Level Cyclonic Circulation,14-10-2025,1.5 km,WC Arabian Sea
Upper-Level Cyclonic Circulation,14-10-2025,1.5 km,Bangladesh
Upper-Level Cyclonic Circulation,14-10-2025,3.1 km to 4.5 km,Gangetic West Bengal ; Jharkhand
Upper-Level Cyclonic Circulation,14-10-2025,3.1 km,SW Bay
Upper-Level Cyclonic Circulation,15-10-2025,1.5 km,Bangladesh
Upper-Level Cyclonic Circulation,15-10-2025,3.1 km to 5.8 km,Bihar
Upper-Level Cyclonic Circulation,15-10-2025,1.5 km,Tamil Nadu & Puducherry ; Comorin Area
Upper-Level Cyclonic Circulation,15-10-2025,5.8 km,SE Arabian Sea ; Lakshadweep
Upper-Level Cyclonic Circulation,16-10-2025,3.1 km,Jharkhand
Upper-Level Cyclonic Circulation,16-10-2025,5.8 km,SE Arabian Sea ; Lakshadweep
Upper-Level Cyclonic Circulation,17-10-2025,5.8 km,SE Arabian Sea ; Lakshadweep
Trough,17-10-2025,1.5 km,SE Arabian Sea ; Lakshadweep ; SW Bay ; Comorin Area
Upper-Level Cyclonic Circulation,17-10-2025,3.1 km,Jharkhand
Well Marked Low Pressure Area (WML) with associated CYCIR,18-10-2025,5.8 km,SE Arabian Sea ; Lakshadweep ; Kerala ; Coastal Karnataka
Upper-Level Cyclonic Circulation,18-10-2025,1.5 km,Gulf of Mannar
Upper-Level Cyclonic Circulation,18-10-2025,1.5 km,S Andaman Sea ; SE Bay
Upper-Level Cyclonic Circulation,19-10-2025,0.9 km,Kerala ; Comorin Area
Upper-Level Cyclonic Circulation,19-10-2025,1.5 km,S Andaman Sea ; SE Bay
Trough,19-10-2025,0.9 km,SE Arabian Sea ; Lakshadweep ; Kerala ; Coastal Karnataka ; SW Bay ; Comorin Area
Upper-Level Cyclonic Circulation,19-10-2025,3.1 km,East Rajasthan ; West Madhya Pradesh
Upper-Level Cyclonic Circulation,20-10-2025,1.5 km,SE Arabian Sea
Upper-Level Cyclonic Circulation,20-10-2025,5.8 km,S Andaman Sea ; SE Bay
Trough,20-10-2025,0.9 km,SE Arabian Sea ; S Andaman Sea
Upper-Level Cyclonic Circulation,20-10-2025,1.5 km to 3.1 km,West Rajasthan
Trough,20-10-2025,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh
Western Disturbances (WD),20-10-2025,5.8 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Well Marked Low Pressure Area (WML) with associated CYCIR,21-10-2025,7.6 km,SW Bay
Well Marked Low Pressure Area (WML) with associated CYCIR,21-10-2025,5.8 km,SE Arabian Sea
Upper-Level Cyclonic Circulation,21-10-2025,5.8 km,S Andaman Sea
