weather system,date,heightAboveMSL,Regions,subdivisions
Western Disturbances (WD),01-01-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Westerly Trough,01-01-2024,5.8 km,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh
Cyclonic Circulation (CYCIR),02-01-2024,1.5 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),02-01-2024,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Trough,02-01-2024,0.9 km,West Uttar Pradesh ; East Uttar Pradesh ; West Madhya Pradesh,West Uttar Pradesh ; East Uttar Pradesh ; West Madhya Pradesh
Low Pressure (L) with associated CYCIR,03-01-2024,5.8 km,SE Arabian Sea,SE Arabian Sea
Trough,03-01-2024,1.5 km,SE Arabian Sea ; Kerala ; Coastal Karnataka,SE Arabian Sea ; Kerala ; Coastal Karnataka
Cyclonic Circulation (CYCIR),03-01-2024,5.8 km,SW Bay,SW Bay
Cyclonic Circulation (CYCIR),03-01-2024,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Trough,03-01-2024,1.5 km,"Konkan & Goa ; Haryana, Chandigarh & Delhi","Konkan & Goa ; Haryana, Chandigarh & Delhi"
Western Disturbances (WD),03-01-2024,3.1 km to 4.5 km,Jammu & Kashmir ; North pakistan,Jammu & Kashmir ; North pakistan
Cyclonic Circulation (CYCIR),04-01-2024,3.1 km,SE Arabian Sea ; Lakshadweep,SE Arabian Sea ; Lakshadweep
Trough,04-01-2024,1.5 km,SE Arabian Sea ; Lakshadweep ; South Interior Karnataka,SE Arabian Sea ; Lakshadweep ; South Interior Karnataka
Western Disturbances (WD),04-01-2024,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Induced Cyclonic Circulation,04-01-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Trough,04-01-2024,1.5 km,North Interior Karnataka ; West Uttar Pradesh,North Interior Karnataka ; West Uttar Pradesh
Cyclonic Circulation (CYCIR),05-01-2024,3.1 km,Lakshadweep ; SE Arabian Sea,Lakshadweep ; SE Arabian Sea
Trough,05-01-2024,1.5 km,Lakshadweep ; Konkan & Goa,Lakshadweep ; Konkan & Goa
Western Disturbances (WD),05-01-2024,3.1 km to 4.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Induced Cyclonic Circulation,05-01-2024,1.5 km,East Rajasthan,East Rajasthan
Trough,05-01-2024,1.5 km,Gujarat Region ; East Rajasthan,Gujarat Region ; East Rajasthan
Trough,05-01-2024,1.5 km,SW Bay ; WC Bay,SW Bay ; WC Bay
Western Disturbances (WD),05-01-2024,3.1 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),06-01-2024,1.5 km,Lakshadweep,Lakshadweep
Trough,06-01-2024,0.9 km,Lakshadweep ; Konkan & Goa ; Madhya Maharashtra ; Vidarbha,Lakshadweep ; Konkan & Goa ; Madhya Maharashtra ; Vidarbha
Western Disturbances (WD),06-01-2024,1.5 km to 4.5 km,West Uttar Pradesh,West Uttar Pradesh
Trough,06-01-2024,1.5 km,Gujarat Region ; West Madhya Pradesh ; West Uttar Pradesh,Gujarat Region ; West Madhya Pradesh ; West Uttar Pradesh
Trough,06-01-2024,3.1 km,SW Bay ; Coastal Andhra Pradesh,SW Bay ; Coastal Andhra Pradesh
Western Disturbances (WD),06-01-2024,3.1 km,Haryana ; Punjab ; Delhi ; Jammu & Kashmir ; Himachal Pradesh,Haryana ; Punjab ; Delhi ; Jammu & Kashmir ; Himachal Pradesh
Cyclonic Circulation (CYCIR),07-01-2024,1.5 km,SE Arabian Sea,SE Arabian Sea
Mean Sea Level Trough,07-01-2024,1.5 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),07-01-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Trough,07-01-2024,1.5 km,SE Arabian Sea ; Gujarat Region,SE Arabian Sea ; Gujarat Region
Western Disturbances (WD),07-01-2024,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),08-01-2024,1.5 km,SE Arabian Sea,SE Arabian Sea
Mean Sea Level Trough,08-01-2024,0.9 km,Tamil Nadu & Puducherry ; WC Bay,Tamil Nadu & Puducherry ; WC Bay
Western Disturbances (WD),08-01-2024,5.8 km,Southwest Pakistan,Southwest Pakistan
Cyclonic Circulation (CYCIR),08-01-2024,3.1 km,Punjab,Punjab
Cyclonic Circulation (CYCIR),09-01-2024,1.5 km,SE Arabian Sea ; EC Arabian Sea,SE Arabian Sea ; EC Arabian Sea
Trough,09-01-2024,1.5 km,SE Arabian Sea ; EC Arabian Sea ; NE Arabian Sea ; Gujarat Region,SE Arabian Sea ; EC Arabian Sea ; NE Arabian Sea ; Gujarat Region
Cyclonic Circulation (CYCIR),09-01-2024,3.1 km,east Equatorial Indian Ocean centered at Lat 2.8°N and Long 82.2°E,SW Bay ; SE Bay
Western Disturbances (WD),09-01-2024,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Westerly Trough,09-01-2024,5.8 km,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),09-01-2024,3.1 km,Punjab,Punjab
Western Disturbances (WD),10-01-2024,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Westerly Trough,10-01-2024,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; Delhi ; Himachal Pradesh,Jammu & Kashmir ; Punjab ; Haryana ; Delhi ; Himachal Pradesh
Cyclonic Circulation (CYCIR),10-01-2024,3.1 km,east Equatorial Indian Ocean centered at Lat 2.5°N and Long 78.5°E,SE Arabian Sea ; SW Bay
Cyclonic Circulation (CYCIR),10-01-2024,1.5 km,Kerala,Kerala
Western Disturbances (WD),11-01-2024,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),11-01-2024,3.1 km,east equatorial Indian Ocean centered at Lat 2.0°N and Long 76°E,SE Arabian Sea ; SW Arabian Sea
Western Disturbances (WD),12-01-2024,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),12-01-2024,4.5 km to 5.8 km,Comorin Area,Comorin Area
Western Disturbances (WD),13-01-2024,5.8 km,West Pakistan ; Central Pakistan ; Far West Pakistan,West Pakistan ; Central Pakistan ; Far West Pakistan
Cyclonic Circulation (CYCIR),13-01-2024,1.5 km,Sri Lanka and neighbourhood,SW Bay ; Comorin Area
Western Disturbances (WD),14-01-2024,5.8 km,West Pakistan ; Central Pakistan ; Far West Pakistan,West Pakistan ; Central Pakistan ; Far West Pakistan
Cyclonic Circulation (CYCIR),14-01-2024,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),15-01-2024,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),15-01-2024,0.9 km,SW Bay,SW Bay
Cyclonic Circulation (CYCIR),16-01-2024,3.1 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),16-01-2024,1.5 km to 3.1 km,Comorin Area,Comorin Area
Easterly Trough,16-01-2024,0.9 km,North Interior Karnataka ; Vidarbha,North Interior Karnataka ; Vidarbha
Cyclonic Circulation (CYCIR),17-01-2024,3.1 km,Bangladesh,Bangladesh
Easterly Trough,17-01-2024,0.9 km,South Interior Karnataka ; Vidarbha,South Interior Karnataka ; Vidarbha
Cyclonic Circulation (CYCIR),17-01-2024,0.9 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),17-01-2024,1.5 km to 3.1 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),17-01-2024,3.1 km,Maldives area,Maldives area
Cyclonic Circulation (CYCIR),18-01-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Easterly Trough,18-01-2024,0.9 km,South Interior Karnataka ; Chhattisgarh ; Telangana ; Vidarbha,South Interior Karnataka ; Chhattisgarh ; Telangana ; Vidarbha
Cyclonic Circulation (CYCIR),18-01-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),18-01-2024,0.9 km,SE Arabian Sea,SE Arabian Sea
