weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),02-07-2025,5.8 km,Jharkhand
Trough,02-07-2025,0.9 km to 5.8 km,East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal ; NW Bay
Upper-Level Cyclonic Circulation,02-07-2025,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),03-07-2025,0.9 km,West Rajasthan
Cyclonic Circulation (CYCIR),03-07-2025,1.5 km,East Madhya Pradesh
Upper-Level Cyclonic Circulation,03-07-2025,1.5 km to 5.8 km,Odisha ; Gangetic West Bengal
Trough,03-07-2025,3.1 km to 5.8 km,NE Arabian Sea ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay
Upper-Level Cyclonic Circulation,03-07-2025,0.9 km,Assam & Meghalaya
Monsoon Trough with Extension and Tilt,04-07-2025,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; NE Bay
Cyclonic Circulation (CYCIR),04-07-2025,1.5 km,East Madhya Pradesh
Upper-Level Cyclonic Circulation,04-07-2025,5.8 km,Gangetic West Bengal
Trough,04-07-2025,3.1 km,Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,04-07-2025,1.5 km,Assam & Meghalaya
Offshore Trough,04-07-2025,Surface,Konkan & Goa ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Coastal Karnataka
Mean Sea Level Trough,06-07-2025,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay"
Upper-Level Cyclonic Circulation,06-07-2025,1.5 km,Himachal Pradesh ; Punjab
Low Pressure (L) with associated CYCIR,06-07-2025,7.6 km,Gangetic West Bengal
Trough,06-07-2025,3.1 km to 5.8 km,NE Arabian Sea ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,06-07-2025,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,06-07-2025,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka
Low Pressure (L) with associated CYCIR,09-07-2025,7.6 km,Gangetic West Bengal ; Jharkhand
Cyclonic Circulation (CYCIR),09-07-2025,1.5 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,09-07-2025,0.9 km,West Uttar Pradesh
Trough,09-07-2025,4.5 km to 7.6 km,NE Arabian Sea ; Gujarat Region ; Madhya Maharashtra ; Vidarbha ; Chhattisgarh ; Odisha
Trough,09-07-2025,3.1 km,Assam & Meghalaya ; Telangana ; Gangetic West Bengal ; Odisha ; Chhattisgarh
Cyclonic Circulation (CYCIR),10-07-2025,5.8 km,Jharkhand
Cyclonic Circulation (CYCIR),10-07-2025,1.5 km to 5.8 km,Punjab
