weather_system,region,height_km,pressure_level,status
Western Disturbances (WD),north pakistan & neighbourhood lay over north pakistan & adjoining jammu,3.1,,lay over
Western Disturbances (WD),north pakistan & neighbourhood lay over north pakistan & adjoining jammu,3.1,,persisted
Trough,,5.8,,
Cyclonic Circulation (CYCIR),central pakistan,1.5,,persisted
Cyclonic Circulation (CYCIR),haryana of today morning.,0.9,,lay over
Cyclonic Circulation (CYCIR),haryana of today morning.,0.9,,persisted
Cyclonic Circulation (CYCIR),haryana across north rajasthan of today morning.,0.9,,
Cyclonic Circulation (CYCIR),haryana across north rajasthan of today morning.,0.9,,persisted
Cyclonic Circulation (CYCIR),northeast assam,0.9,,lay over
Cyclonic Circulation (CYCIR),northeast assam,0.0,,persisted
Trough,"central parts of bihar, sub-himalayan west bengal, central parts of assam.",0.0,,
Trough,long.,0.0,,
Trough,,0.0,,became less marked
Cyclonic Circulation (CYCIR),northeast arunachal pradesh which extended upto 3.1 km above m.,0.0,,extended
Cyclonic Circulation (CYCIR),"assam & meghalaya, nagaland-manipur-mizoram-tripura",0.0,,
