date,source_file,weather_system,region,region_original,height_km,pressure_level,status
2025-06-01,AIWS 20250601.docx,WD,north pakistan & neighbourhood ; north pakistan & adjoining jammu and north punjab,,3.1,700 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh,along long. 74°e to the north of lat. 32°n,5.8,500 hPa,
2025-06-01,AIWS 20250601.docx,CYCIR,central pakistan,,1.5,850 hPa,persisted
2025-06-01,AIWS 20250601.docx,CYCIR,haryana,,0.9,925 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,central pakistan ; haryana ; north rajasthan,,0.9,925 hPa,persisted
2025-06-01,AIWS 20250601.docx,CYCIR,northeast assam,,0.9,925 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,"central parts of east uttar pradesh ; arunachal pradesh ; central parts of bihar, sub-himalayan west bengal, central parts of assam",,0.0,,
2025-06-01,AIWS 20250601.docx,Trough,Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura,along long. 90°e to the north of lat. 20°n,1.5,850 hPa,
2025-06-02,AIWS 20250602.docx,WD,north pakistan & adjoining jammu,,3.1-7.6,700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,
2025-06-02,AIWS 20250602.docx,CYCIR,haryana & neighbourhood,,1.5,850 hPa,persisted
2025-06-02,AIWS 20250602.docx,Trough,Assam & Meghalaya ; Bangladesh ; Nagaland-Manipur-Mizoram-Tripura ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim,along long. 91°e to the north of lat. 22°n,1.5,850 hPa,
2025-06-02,AIWS 20250602.docx,CYCIR,east bihar & neighbourhood,,1.5,850 hPa,lay over
2025-06-02,AIWS 20250602.docx,Trough,"east uttar pradesh ; northeast assam ; central parts of bihar, sub-himalayan west bengal & sikkim and assam",,0.9,925 hPa,
2025-06-03,AIWS 20250603.docx,WD,north pakistan & adjoining jammu ; punjab & neighbourhood,,3.1-4.5,700 hPa ; 600 hPa,lay over
2025-06-03,AIWS 20250603.docx,Trough,Jammu & Kashmir ; Punjab ; Haryana ; Himachal Pradesh ; Ladakh,along long. 75°e to the north of lat. 30°n at 0530 hours ist of today,5.8,500 hPa,persisted
2025-06-03,AIWS 20250603.docx,CYCIR,haryana & neighbourhood,,1.5,850 hPa,persisted
2025-06-03,AIWS 20250603.docx,Trough,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Bangladesh ; Arunachal Pradesh,along long. 92°e to the north of lat. 22°n,1.5,850 hPa,
2025-06-03,AIWS 20250603.docx,CYCIR,east bihar,,0.9,925 hPa,lay over
2025-06-03,AIWS 20250603.docx,CYCIR,haryana,,0.9,925 hPa,lay over
2025-06-04,AIWS 20250604.docx,WD,punjab & neighbourhood,,5.8,500 hPa,
2025-06-04,AIWS 20250604.docx,CYCIR,south punjab & neighbourhood,,1.5,850 hPa,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,north bangladesh & neighbourhood,,0.9,925 hPa,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,northeast assam & neighbourhood,,0.9,925 hPa,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,south gujarat & neighbourhood between 1,,1.5-3.1,850 hPa ; 700 hPa,lay over
2025-06-04,AIWS 20250604.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Bangladesh,along long. 87°e to the north of lat. 22°n,3.1,700 hPa,
2025-06-05,AIWS 20250605.docx,WD,Himachal Pradesh ; Ladakh ; Delhi ; Uttarakhand ; West Uttar Pradesh,along long. 78°e to the north of lat. 24°n,5.8,500 hPa,
2025-06-05,AIWS 20250605.docx,CYCIR,south punjab & neighbourhood,,1.5,850 hPa,lay over
2025-06-06,AIWS 20250606.docx,Trough,East Uttar Pradesh ; Chhattisgarh ; Odisha ; Bihar ; Jharkhand,along long. 83°e to the north of lat. 20°n,5.8,500 hPa,
2025-06-06,AIWS 20250606.docx,CYCIR,central pakistan & adjoining northwest rajasthan,,0.9,925 hPa,lay over
2025-06-06,AIWS 20250606.docx,CYCIR,north interior karnataka & adjoining marathwada,,3.1,700 hPa,lay over
2025-06-06,AIWS 20250606.docx,Trough,south madhya maharashtra ; coastal andhra pradesh ; north interior karnataka and telangana,,1.5,850 hPa,
2025-06-06,AIWS 20250606.docx,CYCIR,northwest uttar pradesh & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2025-06-06,AIWS 20250606.docx,CYCIR,northeast assam & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2025-06-07,AIWS 20250607.docx,CYCIR,northwest rajasthan & neighbourhood,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,northwest uttar pradesh & neighbourhood,,1.5,850 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,northeast madhya pradesh & neighbourhood and,,1.5,850 hPa,extended
2025-06-07,AIWS 20250607.docx,Trough,east vidarbha ; north interior karnataka,,1.5,850 hPa,
2025-06-07,AIWS 20250607.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Bangladesh,along long. 87°e to the north of lat. 22°n,0.0,,
2025-06-07,AIWS 20250607.docx,CYCIR,northeast assam & neighbourhood,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,WD,Southwest Pakistan,along long. 59°e to the north of lat. 27°n,5.8,500 hPa,
2025-06-08,AIWS 20250608.docx,CYCIR,northwest rajasthan,,0.9,925 hPa,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,northwest uttar pradesh,,1.5,850 hPa,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,central pakistan & neighbourhood,,1.5,850 hPa,persisted
2025-06-08,AIWS 20250608.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar,along long. 89°e to the north of lat. 22°n,0.0,,
2025-06-08,AIWS 20250608.docx,WD,Far West Pakistan,along long. 54°e to the north of lat. 25°n,5.8,500 hPa,
