date,source_file,weather_system,region,height_km,pressure_level,status
2025-06-01,AIWS 20250601.docx,Western Disturbances (WD),north pakistan & neighbourhood lay over north pakistan & adjoining jammu,3.1,,lay over
2025-06-01,AIWS 20250601.docx,Western Disturbances (WD),north pakistan & neighbourhood lay over north pakistan & adjoining jammu,3.1,,persisted
2025-06-01,AIWS 20250601.docx,Trough,,5.8,,
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),central pakistan,1.5,,persisted
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),haryana of today morning.,0.9,,lay over
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),haryana of today morning.,0.9,,persisted
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),haryana across north rajasthan of today morning.,0.9,,
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),haryana across north rajasthan of today morning.,0.9,,persisted
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),northeast assam,0.9,,lay over
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),northeast assam,0.0,,persisted
2025-06-01,AIWS 20250601.docx,Trough,"central parts of bihar, sub-himalayan west bengal, central parts of assam.",0.0,,
2025-06-01,AIWS 20250601.docx,Trough,long.,0.0,,
2025-06-01,AIWS 20250601.docx,Trough,,0.0,,became less marked
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),northeast arunachal pradesh which extended upto 3.1 km above m.,0.0,,extended
2025-06-01,AIWS 20250601.docx,Cyclonic Circulation (CYCIR),"assam & meghalaya, nagaland-manipur-mizoram-tripura",0.0,,
,AIWS 20250602.docx,Western Disturbances (WD),north pakistan & adjoining jammu between 3.1 km & 7.6 km above m.,0.0,,
,AIWS 20250602.docx,Cyclonic Circulation (CYCIR),haryana & neighbourhood,0.0,,persisted
,AIWS 20250602.docx,Trough,long.,0.0,,
,AIWS 20250602.docx,Cyclonic Circulation (CYCIR),east bihar & neighbourhood,1.5,,lay over
,AIWS 20250602.docx,Trough,"central parts of bihar, sub-himalayan west bengal & sikkim",0.9,,
,AIWS 20250602.docx,Cyclonic Circulation (CYCIR),central pakistan,0.0,,became less marked
,AIWS 20250602.docx,Cyclonic Circulation (CYCIR),northeast assam,0.0,,became less marked
,AIWS 20250602.docx,Trough,"central parts of bihar, sub-himalayan west bengal, central parts of assam",0.0,,became less marked
,AIWS 20250602.docx,Cyclonic Circulation (CYCIR),haryana across north rajasthan also,0.0,,became less marked
