date,source_file,weather_system,region,height_km,pressure_level,status
2025-06-02,AIWS 20250602.docx,WD,north pakistan & adjoining jammu between 3.1 km & 7.6 km above m.,0.0,,
2025-06-02,AIWS 20250602.docx,CYCIR,haryana & neighbourhood,0.0,,persisted
2025-06-02,AIWS 20250602.docx,Trough,long.,0.0,,
2025-06-02,AIWS 20250602.docx,CYCIR,east bihar & neighbourhood,1.5,,became less marked
2025-06-02,AIWS 20250602.docx,Trough,"central parts of bihar, sub-himalayan west bengal & sikkim",0.9,,became less marked
2025-06-03,AIWS 20250603.docx,WD,north pakistan & adjoining jammu lay over punjab & neighbourhood between 3.1 & 4.5 km above m.,1.5,,persisted
2025-06-03,AIWS 20250603.docx,Trough,,5.8,,became less marked
2025-06-03,AIWS 20250603.docx,CYCIR,haryana & neighbourhood lay over northwest uttar pradesh,0.0,,lay over
2025-06-03,AIWS 20250603.docx,CYCIR,east bihar,0.9,,lay over
2025-06-03,AIWS 20250603.docx,CYCIR,haryana,0.9,,became less marked
2025-06-04,AIWS 20250604.docx,WD,punjab & neighbourhood lay as trough in middle & upper tropospheric levels,5.8,,
2025-06-04,AIWS 20250604.docx,CYCIR,south punjab & neighbourhood,1.5,,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,north bangladesh & neighbourhood,0.9,,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,northeast assam & neighbourhood,0.9,,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,south gujarat & neighbourhood between 1.5 & 3.1 km above m.,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,Trough,long.,0.0,,
2025-06-05,AIWS 20250605.docx,WD,,5.8,,
2025-06-05,AIWS 20250605.docx,CYCIR,south punjab & neighbourhood lay over south haryana & neighbourhood,1.5,,lay over
2025-06-06,AIWS 20250606.docx,Trough,,5.8,,
2025-06-06,AIWS 20250606.docx,CYCIR,central pakistan & adjoining northwest rajasthan lay over northwest rajasthan & neighbourhood,0.9,,lay over
2025-06-06,AIWS 20250606.docx,Trough,north interior karnataka,1.5,,became less marked
2025-06-06,AIWS 20250606.docx,CYCIR,northwest uttar pradesh & neighbourhood,0.0,,extended
2025-06-06,AIWS 20250606.docx,CYCIR,northeast assam & neighbourhood,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,WD,,5.8,,
2025-06-07,AIWS 20250607.docx,CYCIR,northwest rajasthan & neighbourhood,0.9,,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,northeast madhya pradesh & neighbourhood,0.9,,became less marked
2025-06-07,AIWS 20250607.docx,Trough,east vidarbha ; north interior karnataka,1.5,,became less marked
2025-06-07,AIWS 20250607.docx,WD,,5.8,,
2025-06-08,AIWS 20250608.docx,CYCIR,northwest rajasthan lay over haryana & neighbourhood,0.9,,persisted
2025-06-08,AIWS 20250608.docx,Trough,long.,0.0,,became less marked
2025-06-08,AIWS 20250608.docx,WD,,5.8,,
2025-06-08,AIWS 20250608.docx,CYCIR,east bangladesh & neighbourhood,0.0,,extended
2025-06-08,AIWS 20250608.docx,CYCIR,southeast & adjoining eastcentral bay of bengal,5.8,,became less marked
2025-06-09,AIWS 20250609.docx,CYCIR,haryana & neighbourhood lay over northwest uttar pradesh,0.9,,persisted
2025-06-09,AIWS 20250609.docx,WD,,5.8,,became less marked
2025-06-09,AIWS 20250609.docx,Trough,interior karnataka between 3.1 & 4.5 km above m.,0.0,,
2025-06-09,AIWS 20250609.docx,CYCIR,northwest bay of bengal,1.5,,became less marked
2025-06-10,AIWS 20250610.docx,CYCIR,northwest uttar pradesh,0.9,,lay over
2025-06-10,AIWS 20250610.docx,Trough,interior karnataka lay as a shear zone roughly along lat.,0.0,,
2025-06-10,AIWS 20250610.docx,WD,,5.8,,
2025-06-10,AIWS 20250610.docx,CYCIR,north chhattisgarh,0.9,,lay over
2025-06-10,AIWS 20250610.docx,CYCIR,north pakistan & neighborhood off punjab,1.5,,lay over
2025-06-10,AIWS 20250610.docx,CYCIR,central parts of south uttar pradesh & neighborhood,1.5,,became less marked
2025-06-11,AIWS 20250611.docx,CYCIR,westcentral bay of bengal off north coastal,0.9,,extended
2025-06-11,AIWS 20250611.docx,CYCIR,north haryana & chandigarh,0.9,,became less marked
2025-06-11,AIWS 20250611.docx,WD,,5.8,,
2025-06-11,AIWS 20250611.docx,Trough,interior karnataka lay as a shear zone roughly along lat.,0.0,,
2025-06-12,AIWS 20250612.docx,CYCIR,punjab & neighbourhood,0.9,,lay over
2025-06-12,AIWS 20250612.docx,CYCIR,west uttar pradesh & neighbourhood,1.5,,lay over
2025-06-12,AIWS 20250612.docx,CYCIR,west rajasthan & neighbourhood between 1.5 & 3.1 km above m.,0.0,,became less marked
2025-06-12,AIWS 20250612.docx,WD,,5.8,,
2025-06-13,AIWS 20250613.docx,CYCIR,northwest rajasthan,0.9,,became less marked
2025-06-13,AIWS 20250613.docx,WD,,5.8,,
2025-06-14,AIWS 20250614.docx,CYCIR,northwest rajasthan lay over west rajasthan & adjoining pakistan,1.5,,extended
2025-06-14,AIWS 20250614.docx,WD,,5.8,,
2025-06-14,AIWS 20250614.docx,CYCIR,north odisha & neighbourhood between 3.1 & 5.8 km above m.,0.0,,lay over
2025-06-14,AIWS 20250614.docx,CYCIR,westcentral bay of bengal off north coastal,5.8,,lay over
2025-06-14,AIWS 20250614.docx,CYCIR,south bangladesh & adjoining north bay of bengal,3.1,,lay over
2025-06-14,AIWS 20250614.docx,CYCIR,central assam & neighbourhood,0.9,,lay over
2025-06-15,AIWS 20250615.docx,CYCIR,south bangladesh & adjoining north bay of bengal lay over northwest bay of bengal & neighbourhood between 3.1 & 7.6 km above m.,5.8,,extended
2025-06-15,AIWS 20250615.docx,Trough,"chhattisgarh, jharkhand & gangetic west bengal",0.0,,extended
2025-06-15,AIWS 20250615.docx,CYCIR,south himachal pradesh & adjoining north uttarakhand,1.5,,lay over
2025-06-15,AIWS 20250615.docx,CYCIR,east uttar pradesh & neighbourhood,0.9,,became less marked
