date,source_file,weather_system,region,region_original,height_km,pressure_level,status
2026-05-01,AIWS 20260501.docx,WD,kashmir & neighbourhood,,5.8,500 hPa,persisted
2026-05-01,AIWS 20260501.docx,Trough,"south odisha ; gulf of mannar ; telangana, andhra pradesh and tamil nadu",,0.9,925 hPa,persisted
2026-05-01,AIWS 20260501.docx,CYCIR,gangetic west bengal & adjoining bangladesh,,1.5,850 hPa,persisted
2026-05-01,AIWS 20260501.docx,CYCIR,southeast bangladesh and neighbourhood between 3,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,lay over
2026-05-01,AIWS 20260501.docx,Trough,Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura,along long. 90°e to the north of lat. 22°n merged with above system,3.1-7.6,700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,merged
2026-05-01,AIWS 20260501.docx,Trough,southeast uttar pradesh ; north interior odisha ran from south punjab adjoining northwest rajasthan to central parts of madhya pradesh ; east rajasthan,,0.9,925 hPa,
2026-05-01,AIWS 20260501.docx,CYCIR,northeast bangladesh & neighbourhood,,0.0,,
2026-05-02,AIWS 20260502.docx,WD,along long. 60°e to the north of lat. 32°n,,0.0,,
2026-05-02,AIWS 20260502.docx,CYCIR,north punjab & neighbourhood,,1.5,850 hPa,persisted
2026-05-02,AIWS 20260502.docx,CYCIR,gangetic west bengal & adjoining bangladesh,,1.5-3.1,850 hPa ; 700 hPa,lay over
2026-05-02,AIWS 20260502.docx,CYCIR,west rajasthan & neighbourhood,,0.9,925 hPa,lay over
2026-05-02,AIWS 20260502.docx,Trough,"above the cyclonic circulation over west rajasthan ; comorin area ; east rajasthan, madhya pradesh, vidarbha, telangana, rayalaseema and interior tamil nadu",,0.9,925 hPa,
2026-05-02,AIWS 20260502.docx,WD,kashmir & neighbourhood moved away,,0.0,,
2026-05-02,AIWS 20260502.docx,CYCIR,central pakistan & adjoining rajasthan between 1,,1.5-3.1,850 hPa ; 700 hPa,lay over
2026-05-02,AIWS 20260502.docx,CYCIR,north odisha & adjoining gangetic west bengal,,0.9,925 hPa,lay over
2026-05-03,AIWS 20260503.docx,WD,north pakistan & neighbourhood,,3.1,700 hPa,persisted
2026-05-03,AIWS 20260503.docx,Trough,Central Pakistan ; West Pakistan ; North Pakistan,along long. 69°e to the north of lat. 30°n,5.8,500 hPa,
2026-05-03,AIWS 20260503.docx,CYCIR,north haryana & neighbourhood,,1.5,850 hPa,extended
2026-05-03,AIWS 20260503.docx,Trough,the upper air cyclonic circulation over haryana & neighbourhood ; over southwest rajasthan,,0.9,925 hPa,
2026-05-03,AIWS 20260503.docx,CYCIR,west rajasthan & neighbourhood,,0.9,925 hPa,merged
2026-05-03,AIWS 20260503.docx,CYCIR,southeast rajasthan & neighbourhood,,0.9,925 hPa,lay over
2026-05-03,AIWS 20260503.docx,CYCIR,east madhya pradesh & neighbourhood,,1.5,850 hPa,extended
2026-05-03,AIWS 20260503.docx,Trough,"chhattisgarh ; comorin area ; telangana, andhra pradesh and tamil nadu",,1.5,850 hPa,persisted
2026-05-03,AIWS 20260503.docx,CYCIR,central assam & neighbourhood,,3.1,700 hPa,lay over
2026-05-03,AIWS 20260503.docx,CYCIR,north bangladesh & adjoining gangetic west bengal,,1.5,850 hPa,persisted
2026-05-04,AIWS 20260504.docx,WD,north pakistan & neighbourhood,,3.1,700 hPa,persisted
2026-05-04,AIWS 20260504.docx,Trough,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,along long. 72°e to the north of lat. 28°n,5.8,500 hPa,
2026-05-04,AIWS 20260504.docx,CYCIR,haryana & neighbourhood extended upto 1,,1.5,850 hPa,persisted
2026-05-04,AIWS 20260504.docx,Trough,above upper air cyclonic circulation over haryana & neighbourhood ; southwest rajasthan has merged with the above system,,0.0,,merged
2026-05-04,AIWS 20260504.docx,CYCIR,east madhya pradesh & neighbourhood,,1.5,850 hPa,persisted
2026-05-04,AIWS 20260504.docx,Trough,"south chhattisgarh ; manipur ; the cyclonic circulation over interior odisha & neighbourhood, gangetic west bengal and meghalaya",,0.9,925 hPa,
2026-05-04,AIWS 20260504.docx,Trough,"south chhattisgarh ; comorin area now ran from vidarbha to comorin area ; telangana, rayalaseema and interior tamil nadu",,0.9,925 hPa,
2026-05-04,AIWS 20260504.docx,CYCIR,central assam & neighbourhood,,1.5,850 hPa,lay over
2026-05-05,AIWS 20260505.docx,WD,north pakistan & neighbourhood ; kashmir & neighbourhood,,3.1,700 hPa,persisted
2026-05-05,AIWS 20260505.docx,Trough,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,along long. 72°e to the north of lat. 28°n,5.8,500 hPa,
2026-05-05,AIWS 20260505.docx,CYCIR,haryana & neighbourhood,,1.5,850 hPa,persisted
2026-05-05,AIWS 20260505.docx,CYCIR,southeast rajasthan & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2026-05-05,AIWS 20260505.docx,CYCIR,central parts of east uttar pradesh,,0.9,925 hPa,lay over
2026-05-05,AIWS 20260505.docx,CYCIR,east madhya pradesh & neighbourhood,,1.5,850 hPa,extended
2026-05-05,AIWS 20260505.docx,Trough,south chhattisgarh ; manipur ran from the cyclonic circulation over central parts of madhya pradesh to bihar,,0.9,925 hPa,persisted
2026-05-05,AIWS 20260505.docx,Trough,vidarbha ; comorin area ran from central parts of madhya pradesh to comorin area,,1.5,850 hPa,persisted
2026-05-05,AIWS 20260505.docx,Trough,the upper air cyclonic circulation over haryana & neighbourhood ; northeast arabian sea ran from haryana to southwest rajasthan,,1.5,850 hPa,
2026-05-05,AIWS 20260505.docx,CYCIR,central assam & neighbourhood,,0.9,925 hPa,persisted
2026-05-06,AIWS 20260506.docx,WD,kashmir & neighbourhood seen as a trough in westerlies,,3.1-7.6,700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,
2026-05-06,AIWS 20260506.docx,CYCIR,southwest rajasthan extended upto 1,,1.5,850 hPa,persisted
2026-05-06,AIWS 20260506.docx,CYCIR,east uttar pradesh,,0.9,925 hPa,lay over
2026-05-06,AIWS 20260506.docx,CYCIR,central assam & neighbourhood,,0.9,925 hPa,lay over
2026-05-06,AIWS 20260506.docx,CYCIR,north telangana & neighbourhood,,1.5,850 hPa,persisted
2026-05-06,AIWS 20260506.docx,CYCIR,gulf of mannar & neighbourhood,,1.5,850 hPa,lay over
2026-05-06,AIWS 20260506.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar,along long. 89°e to the north of lat. 21°n,3.1,700 hPa,
2026-05-07,AIWS 20260507.docx,WD,northwest uttar pradesh and adjoining uttarakhand,,5.8-7.6,500 hPa ; 400 hPa,persisted
2026-05-07,AIWS 20260507.docx,CYCIR,northeast uttar pradesh & neighbourhood,,1.5-4.5,850 hPa ; 700 hPa ; 600 hPa,persisted
2026-05-07,AIWS 20260507.docx,CYCIR,central assam & neighbourhood,,1.5,850 hPa,persisted
2026-05-07,AIWS 20260507.docx,CYCIR,central parts of south madhya pradesh & neighbourhood,,1.5,850 hPa,lay over
2026-05-07,AIWS 20260507.docx,CYCIR,central pakistan & adjoining south punjab and extended upto 1,,1.5,850 hPa,persisted
2026-05-07,AIWS 20260507.docx,CYCIR,southeast arabian sea and adjoining lakshadweep off south kerala coast,,1.5,850 hPa,persisted
2026-05-07,AIWS 20260507.docx,Trough,"southwest madhya pradesh ; southeast arabian sea and adjoining lakshadweep off south kerela ; madhya maharashtra, interior karnataka & kerala",,0.9,925 hPa,persisted
2026-05-07,AIWS 20260507.docx,Trough,central parts of south madhya pradesh ; jharkhand ; chhattisgarh,,0.9,925 hPa,persisted
2026-05-07,AIWS 20260507.docx,CYCIR,north haryana & neighbourhood,,1.5,850 hPa,persisted
2026-05-07,AIWS 20260507.docx,CYCIR,interior odisha and adjoining chhattisgarh,,1.5,850 hPa,persisted
