date,source_file,weather_system,subdivisions,region,region_original,height_km,pressure_level,status
2025-06-01,AIWS 20250601.docx,WD,North pakistan ; Jammu & Kashmir ; Punjab,north pakistan & neighbourhood ; north pakistan & adjoining jammu and north punjab,,3.1,700 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,Jammu & Kashmir ; North pakistan ; Himachal Pradesh,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh,along long. 74°e to the north of lat. 32°n,5.8,500 hPa,
2025-06-01,AIWS 20250601.docx,CYCIR,Central Pakistan,central pakistan,,1.5,850 hPa,persisted
2025-06-01,AIWS 20250601.docx,CYCIR,"Haryana, Chandigarh & Delhi",haryana,,0.9,925 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,"Central Pakistan ; Haryana, Chandigarh & Delhi ; West Rajasthan",central pakistan ; haryana ; north rajasthan,,0.9,925 hPa,persisted
2025-06-01,AIWS 20250601.docx,CYCIR,Assam & Meghalaya,northeast assam,,0.9,925 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,East Uttar Pradesh ; Arunachal Pradesh ; Sub-Himalayan West Bengal & Sikkim,"central parts of east uttar pradesh ; arunachal pradesh ; central parts of bihar, sub-himalayan west bengal, central parts of assam",,0.0,Surface,
2025-06-01,AIWS 20250601.docx,Trough,"Sikkim ; Assam & Meghalaya ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; NW Bay ; Bangladesh ; Nagaland, Manipur, Mizoram & Tripura",Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura,along long. 90°e to the north of lat. 20°n,1.5,850 hPa,
2025-06-02,AIWS 20250602.docx,WD,North pakistan ; Jammu & Kashmir ; Punjab,north pakistan & adjoining jammu,,3.1-7.6,700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,
2025-06-02,AIWS 20250602.docx,CYCIR,"Haryana, Chandigarh & Delhi",haryana & neighbourhood,,1.5,850 hPa,persisted
2025-06-02,AIWS 20250602.docx,Trough,"Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura ; Sikkim ; Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim",Assam & Meghalaya ; Bangladesh ; Nagaland-Manipur-Mizoram-Tripura ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim,along long. 91°e to the north of lat. 22°n,1.5,850 hPa,
2025-06-02,AIWS 20250602.docx,CYCIR,Bihar,east bihar & neighbourhood,,1.5,850 hPa,lay over
2025-06-02,AIWS 20250602.docx,Trough,East Uttar Pradesh ; Assam & Meghalaya ; Sub-Himalayan West Bengal & Sikkim,"east uttar pradesh ; northeast assam ; central parts of bihar, sub-himalayan west bengal & sikkim and assam",,0.9,925 hPa,
2025-06-03,AIWS 20250603.docx,WD,North pakistan ; Jammu & Kashmir ; Punjab,north pakistan & adjoining jammu ; punjab & neighbourhood,,3.1-4.5,700 hPa ; 600 hPa,lay over
2025-06-03,AIWS 20250603.docx,Trough,"Jammu & Kashmir ; Punjab ; Haryana, Chandigarh & Delhi ; Himachal Pradesh",Jammu & Kashmir ; Punjab ; Haryana ; Himachal Pradesh ; Ladakh,along long. 75°e to the north of lat. 30°n at 0530 hours ist of today,5.8,500 hPa,persisted
2025-06-03,AIWS 20250603.docx,CYCIR,"Haryana, Chandigarh & Delhi",haryana & neighbourhood,,1.5,850 hPa,persisted
2025-06-03,AIWS 20250603.docx,Trough,"Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura ; Arunachal Pradesh ; Bangladesh",Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Bangladesh ; Arunachal Pradesh,along long. 92°e to the north of lat. 22°n,1.5,850 hPa,
2025-06-03,AIWS 20250603.docx,CYCIR,"Haryana, Chandigarh & Delhi",haryana,,0.9,925 hPa,lay over
2025-06-04,AIWS 20250604.docx,WD,Punjab,punjab & neighbourhood,,5.8,500 hPa,
2025-06-04,AIWS 20250604.docx,CYCIR,Punjab,south punjab & neighbourhood,,1.5,850 hPa,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,Bangladesh,north bangladesh & neighbourhood,,0.9,925 hPa,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood,,0.9,925 hPa,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,Gujarat Region,south gujarat & neighbourhood,,1.5-3.1,850 hPa ; 700 hPa,lay over
2025-06-04,AIWS 20250604.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Sikkim ; Bangladesh,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Bangladesh,along long. 87°e to the north of lat. 22°n,3.1,700 hPa,
2025-06-05,AIWS 20250605.docx,WD,"Himachal Pradesh ; Uttarakhand ; West Uttar Pradesh ; Haryana, Chandigarh & Delhi ; East Rajasthan ; Jammu & Kashmir",Himachal Pradesh ; Ladakh ; Delhi ; Uttarakhand ; West Uttar Pradesh,along long. 78°e to the north of lat. 24°n,5.8,500 hPa,
2025-06-05,AIWS 20250605.docx,CYCIR,Punjab,south punjab & neighbourhood,,1.5,850 hPa,lay over
2025-06-06,AIWS 20250606.docx,Trough,East Uttar Pradesh ; Chhattisgarh ; Odisha ; Bihar ; Jharkhand,East Uttar Pradesh ; Chhattisgarh ; Odisha ; Bihar ; Jharkhand,along long. 83°e to the north of lat. 20°n,5.8,500 hPa,
2025-06-06,AIWS 20250606.docx,CYCIR,Central Pakistan,central pakistan & adjoining northwest rajasthan,,0.9,925 hPa,lay over
2025-06-06,AIWS 20250606.docx,CYCIR,North Interior Karnataka,north interior karnataka & adjoining marathwada,,3.1,700 hPa,lay over
2025-06-06,AIWS 20250606.docx,Trough,Madhya Maharashtra ; Coastal Andhra Pradesh ; North Interior Karnataka,south madhya maharashtra ; coastal andhra pradesh ; north interior karnataka and telangana,,1.5,850 hPa,
2025-06-06,AIWS 20250606.docx,CYCIR,West Uttar Pradesh,northwest uttar pradesh & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2025-06-06,AIWS 20250606.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2025-06-06,AIWS 20250606.docx,WD,Iran,along long. 55°e to the north of lat. 31°n,,5.8,500 hPa,
2025-06-07,AIWS 20250607.docx,CYCIR,West Rajasthan,northwest rajasthan & neighbourhood,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,West Uttar Pradesh,northwest uttar pradesh & neighbourhood,,1.5,850 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,East Madhya Pradesh,northeast madhya pradesh & neighbourhood and,,1.5,850 hPa,extended
2025-06-07,AIWS 20250607.docx,Trough,Vidarbha ; North Interior Karnataka,east vidarbha ; north interior karnataka,,1.5,850 hPa,
2025-06-07,AIWS 20250607.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Sikkim ; Bangladesh,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Bangladesh,along long. 87°e to the north of lat. 22°n,0.0,Surface,
2025-06-07,AIWS 20250607.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,WD,Iran ; Pakistan,Southwest Pakistan,along long. 59°e to the north of lat. 27°n,5.8,500 hPa,
2025-06-08,AIWS 20250608.docx,CYCIR,West Rajasthan,northwest rajasthan,,0.9,925 hPa,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,West Uttar Pradesh,northwest uttar pradesh,,1.5,850 hPa,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,Central Pakistan,central pakistan & neighbourhood,,1.5,850 hPa,persisted
2025-06-08,AIWS 20250608.docx,Trough,Sikkim ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar,along long. 89°e to the north of lat. 22°n,0.0,Surface,
2025-06-08,AIWS 20250608.docx,WD,Iran ; Pakistan,Far West Pakistan,along long. 54°e to the north of lat. 25°n,5.8,500 hPa,
2025-06-08,AIWS 20250608.docx,CYCIR,Bangladesh,east bangladesh & neighbourhood,,1.5,850 hPa,extended
2025-06-08,AIWS 20250608.docx,CYCIR,EC Bay,southeast & adjoining eastcentral bay of bengal,,5.8,500 hPa,lay over
2025-06-08,AIWS 20250608.docx,WD,Jammu & Kashmir,ladakh & adjoining kashmir,,5.8,500 hPa,
2025-06-09,AIWS 20250609.docx,CYCIR,"Haryana, Chandigarh & Delhi",haryana & neighbourhood,,1.5,850 hPa,persisted
2025-06-09,AIWS 20250609.docx,Trough,West Uttar Pradesh ; West Madhya Pradesh ; East Madhya Pradesh,the cyclonic circulation over northwest uttar pradesh and neighbourhood ; north madhya pradesh,,0.9,925 hPa,persisted
2025-06-09,AIWS 20250609.docx,WD,Iran ; Pakistan,Far West Pakistan,along long. 58°e to the north of lat. 25°n,5.8,500 hPa,
2025-06-09,AIWS 20250609.docx,CYCIR,EC Bay,southeast & adjoining eastcentral bay of bengal,,5.8-7.6,500 hPa ; 400 hPa,persisted
2025-06-09,AIWS 20250609.docx,Trough,Tamil Nadu & Puducherry ; Madhya Maharashtra ; Marathwada ; Konkan & Goa ; North Interior Karnataka ; South Interior Karnataka,north tamil nadu ; south maharashtra coast ; interior karnataka between 3,,3.1-4.5,700 hPa ; 600 hPa,
2025-06-09,AIWS 20250609.docx,CYCIR,NW Bay,northwest bay of bengal and adjoining north coastal odisha & south gangetic west bengal,,1.5-5.8,850 hPa ; 700 hPa ; 600 hPa ; 500 hPa,lay over
2025-06-09,AIWS 20250609.docx,Trough,Sikkim ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar,along long. 89°e to the north of lat. 22°n,0.0,Surface,
2025-06-10,AIWS 20250610.docx,Trough,West Uttar Pradesh ; West Madhya Pradesh ; East Madhya Pradesh,"the cyclonic circulation over northwest uttar pradesh and neighbourhood ; telangana northwest uttar pradesh to west central bay of bengal ; north madhya pradesh, south chhattisgarh and central odisha",,0.9,925 hPa,
2025-06-10,AIWS 20250610.docx,Trough,Tamil Nadu & Puducherry ; Madhya Maharashtra ; Marathwada ; Konkan & Goa ; North Interior Karnataka ; South Interior Karnataka,north tamil nadu ; south maharashtra coast ; interior karnataka lay as a shear zone roughly along lat,,3.1-4.5,700 hPa ; 600 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,West Uttar Pradesh,northwest uttar pradesh,,1.5,850 hPa,lay over
2025-06-10,AIWS 20250610.docx,CYCIR,NW Bay,northwest bay of bengal,,1.5-5.8,850 hPa ; 700 hPa ; 600 hPa ; 500 hPa,lay over
2025-06-10,AIWS 20250610.docx,WD,Iran ; Pakistan,Southwest Pakistan,along long. 62°e to the north of lat. 28°n,5.8,500 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,Chhattisgarh,north chhattisgarh and neighborhood,,0.9,925 hPa,lay over
2025-06-10,AIWS 20250610.docx,CYCIR,North pakistan,north pakistan & neighborhood off punjab,,1.5,850 hPa,lay over
2025-06-10,AIWS 20250610.docx,CYCIR,West Uttar Pradesh ; East Uttar Pradesh,central parts of south uttar pradesh & neighborhood,,1.5,850 hPa,lay over
2025-06-11,AIWS 20250611.docx,CYCIR,Coastal Andhra Pradesh,westcentral bay of bengal off north coastal andhra pradesh coast and extended upto 5,,5.8,500 hPa,extended
2025-06-11,AIWS 20250611.docx,Trough,East Rajasthan ; WC Bay ; West Madhya Pradesh ; East Madhya Pradesh,"northeast rajasthan ; the upper air cyclonic circulation over westcentral bay of bengal ; madhya pradesh, chhattisgarh",,0.9,925 hPa,
2025-06-11,AIWS 20250611.docx,CYCIR,West Uttar Pradesh ; East Uttar Pradesh,central parts of south uttar pradesh,,1.5,850 hPa,extended
2025-06-12,AIWS 20250612.docx,CYCIR,Punjab,punjab & neighbourhood,,0.9,925 hPa,lay over
2025-06-12,AIWS 20250612.docx,Trough,East Madhya Pradesh ; West Madhya Pradesh,"the cyclonic circulation ; southeast madhya pradesh ; haryana, west madhya pradesh",,0.9,925 hPa,
2025-06-12,AIWS 20250612.docx,CYCIR,West Uttar Pradesh,west uttar pradesh & neighbourhood,,1.5,850 hPa,lay over
2025-06-12,AIWS 20250612.docx,CYCIR,West Rajasthan,west rajasthan & neighbourhood,,1.5-3.1,850 hPa ; 700 hPa,lay over
