date,source_file,weather_system,region,height_km,pressure_level,status
2025-06-01,AIWS 20250601.docx,WD,north pakistan & neighbourhood lay over north pakistan & adjoining jammu,3.1,,persisted
2025-06-01,AIWS 20250601.docx,Trough,with a trough aloft in middle & upper tropospheric levels with its axis at 5.8 km above msl.,5.8,,
2025-06-01,AIWS 20250601.docx,CYCIR,central pakistan,1.5,,persisted
2025-06-01,AIWS 20250601.docx,CYCIR,haryana of today morning.,0.0,,lay over
2025-06-01,AIWS 20250601.docx,CYCIR,haryana across north rajasthan of today morning.,0.0,,
2025-06-01,AIWS 20250601.docx,CYCIR,northeast assam,0.9,,lay over
2025-06-01,AIWS 20250601.docx,Trough,"central parts of bihar, sub-himalayan west bengal, central parts of assam.",0.0,,
2025-06-01,AIWS 20250601.docx,Trough,along long. 90°e to the north of lat. 20°n,1.5,,
2025-06-01,AIWS 20250601.docx,Trough,northeast uttar pradesh ; east vidarbha,0.0,,became less marked
2025-06-01,AIWS 20250601.docx,CYCIR,northeast arunachal pradesh,0.0,,extended
2025-06-02,AIWS 20250602.docx,WD,north pakistan & adjoining jammu between 3.1 km & 7.6 km above msl.,0.0,,
2025-06-02,AIWS 20250602.docx,CYCIR,haryana & neighbourhood,0.0,,persisted
2025-06-02,AIWS 20250602.docx,Trough,along long. 91°e to the north of lat. 22°n,1.5,,
2025-06-02,AIWS 20250602.docx,CYCIR,east bihar & neighbourhood,1.5,,lay over
2025-06-02,AIWS 20250602.docx,Trough,"central parts of bihar, sub-himalayan west bengal & sikkim",0.9,,
2025-06-02,AIWS 20250602.docx,CYCIR,central pakistan,0.0,,became less marked
2025-06-02,AIWS 20250602.docx,CYCIR,northeast assam,0.0,,became less marked
2025-06-02,AIWS 20250602.docx,Trough,"central parts of bihar, sub-himalayan west bengal, central parts of assam",0.0,,became less marked
2025-06-02,AIWS 20250602.docx,CYCIR,haryana across north rajasthan also,0.0,,became less marked
2025-06-03,AIWS 20250603.docx,WD,north pakistan & adjoining jammu lay over punjab & neighbourhood between 3.1 & 4.5 km above msl.,1.5,,persisted
2025-06-03,AIWS 20250603.docx,Trough,with a trough aloft in middle tropospheric level with its axis at 5.8 km above msl.,5.8,,
2025-06-03,AIWS 20250603.docx,CYCIR,haryana & neighbourhood lay over northwest uttar pradesh,0.0,,lay over
2025-06-03,AIWS 20250603.docx,Trough,along long. 92°e to the north of lat. 22°n,1.5,,
2025-06-03,AIWS 20250603.docx,CYCIR,east bihar,0.9,,lay over
2025-06-03,AIWS 20250603.docx,CYCIR,haryana,0.9,,lay over
2025-06-03,AIWS 20250603.docx,CYCIR,east bihar & neighbourhood,0.0,,became less marked
2025-06-03,AIWS 20250603.docx,Trough,east uttar pradesh ; northeast assam,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,WD,punjab & neighbourhood lay as trough in middle & upper tropospheric levels,5.8,,
2025-06-04,AIWS 20250604.docx,CYCIR,south punjab & neighbourhood,1.5,,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,north bangladesh & neighbourhood,0.9,,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,northeast assam & neighbourhood,0.9,,lay over
2025-06-04,AIWS 20250604.docx,CYCIR,south gujarat & neighbourhood between 1.5 & 3.1 km above msl.,0.0,,lay over
2025-06-04,AIWS 20250604.docx,Trough,along long. 87°e to the north of lat. 22°n,3.1,,
2025-06-04,AIWS 20250604.docx,CYCIR,northwest uttar pradesh,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,Trough,along long. 92°e to the north of lat. 22°n,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,CYCIR,east bihar,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,CYCIR,haryana,0.0,,became less marked
2025-06-05,AIWS 20250605.docx,WD,,5.8,,
2025-06-05,AIWS 20250605.docx,CYCIR,south punjab & neighbourhood lay over south haryana & neighbourhood,1.5,,lay over
2025-06-06,AIWS 20250606.docx,Trough,the trough in middle & upper tropospheric westerlies with its axis at 5.8 km above msl.,5.8,,
2025-06-06,AIWS 20250606.docx,CYCIR,central pakistan & adjoining northwest rajasthan lay over northwest rajasthan & neighbourhood,0.9,,lay over
2025-06-06,AIWS 20250606.docx,CYCIR,north interior karnataka & adjoining marathwada,3.1,,lay over
2025-06-06,AIWS 20250606.docx,Trough,north interior karnataka,1.5,,
2025-06-06,AIWS 20250606.docx,CYCIR,northwest uttar pradesh & neighbourhood,0.0,,extended
2025-06-06,AIWS 20250606.docx,CYCIR,northeast assam & neighbourhood,0.0,,extended
2025-06-06,AIWS 20250606.docx,WD,,5.8,,
2025-06-06,AIWS 20250606.docx,Trough,south chhattisgarh ; north bangladesh,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,CYCIR,south haryana & neighbourhood,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,CYCIR,north bangladesh & neighbourhood,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,Trough,along long. 88°e to the north of lat. 22°n,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,CYCIR,jharkhand & adjoining south bihar,0.0,,became less marked
2025-06-07,AIWS 20250607.docx,CYCIR,northwest rajasthan & neighbourhood,0.9,,
2025-06-07,AIWS 20250607.docx,CYCIR,northwest uttar pradesh & neighbourhood,1.5,,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,northeast madhya pradesh & neighbourhood,0.0,,extended
2025-06-07,AIWS 20250607.docx,Trough,east vidarbha ; north interior karnataka,1.5,,
2025-06-07,AIWS 20250607.docx,Trough,along long. 87°e to the north of lat. 22°n,0.0,,
2025-06-07,AIWS 20250607.docx,CYCIR,northeast assam & neighbourhood,0.9,,persisted
2025-06-07,AIWS 20250607.docx,WD,,5.8,,
2025-06-07,AIWS 20250607.docx,Trough,north interior karnataka,0.0,,became less marked
2025-06-07,AIWS 20250607.docx,CYCIR,north interior karnataka & neighbourhood also,0.0,,became less marked
2025-06-08,AIWS 20250608.docx,CYCIR,northwest rajasthan lay over haryana & neighbourhood,0.9,,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,northwest uttar pradesh lay over southeast himachal pradesh & adjoining uttarakhand,1.5,,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,central pakistan & neighbourhood of today morning.,1.5,,persisted
2025-06-08,AIWS 20250608.docx,Trough,along long. 89°e to the north of lat. 22°n,0.0,,
2025-06-08,AIWS 20250608.docx,WD,,5.8,,
2025-06-08,AIWS 20250608.docx,CYCIR,east bangladesh & neighbourhood,0.0,,extended
2025-06-08,AIWS 20250608.docx,CYCIR,southeast & adjoining eastcentral bay of bengal,5.8,,lay over
2025-06-08,AIWS 20250608.docx,WD,ladakh & adjoining kashmir,5.8,,
2025-06-08,AIWS 20250608.docx,CYCIR,northeast assam & neighbourhood,0.0,,became less marked
2025-06-08,AIWS 20250608.docx,CYCIR,northeast madhya pradesh & neighbourhood,0.0,,became less marked
2025-06-08,AIWS 20250608.docx,Trough,east vidarbha ; north interior karnataka also,0.0,,became less marked
2025-06-09,AIWS 20250609.docx,CYCIR,haryana & neighbourhood lay over northwest uttar pradesh,0.0,,persisted
