date,source_file,weather_system,subdivisions,region,region_original,height_km,pressure_level,status
2025-06-01,AIWS 20250601.docx,WD,north Pakistan ; Jammu and north Punjab,north Pakistan & neighbourhood,,3.1,700 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,,along Long. 74°E to the north of Lat. 32°N,,5.8,500 hPa,persisted
2025-06-01,AIWS 20250601.docx,Trough,,roughly along Long. 90°E to the north of Lat. 20°N at 1.5 km above m. s. l.,,1.5,850 hPa,persisted
2025-06-02,AIWS 20250602.docx,WD,,north Pakistan & adjoining Jammu between 3.1 km & 7.6 km above m. s. l.,,5.35,500 hPa,persisted and extended
2025-06-02,AIWS 20250602.docx,Trough,east Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam,north-south trough ran roughly along Long. 91°E to the north of Lat. 22°N at 1.5 km above m. s. l.,,0.9,925 hPa,
2025-06-02,AIWS 20250602.docx,Trough,east Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam,"trough from east Uttar Pradesh to northeast Assam across central parts of Bihar, sub-Himalayan West Bengal & Sikkim and Assam at 0.9 km above m. s. l.",,0.9,925 hPa,
2025-06-03,AIWS 20250603.docx,WD,Punjab ; Jammu & Kashmir,"north Pakistan & adjoining Jammu, Punjab & neighbourhood",,4.5,600 hPa,persisted
2025-06-03,AIWS 20250603.docx,Trough,West Madhya Pradesh,along Long. 92°E to the north of Lat. 22°N at 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-03,AIWS 20250603.docx,Trough,Punjab & neighbourhood,aloft in middle tropospheric level with its axis at 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-03,AIWS 20250603.docx,CYCIR,Haryana,upper air over Haryana at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-04,AIWS 20250604.docx,WD,Punjab,Punjab & neighbourhood,,5.8,500 hPa,lay as trough in middle & upper tropospheric levels
2025-06-04,AIWS 20250604.docx,Trough,Bangladesh,north Bangladesh & neighbourhood,,0.9,925 hPa,
2025-06-04,AIWS 20250604.docx,Trough,Assam & Meghalaya,northeast Assam & neighbourhood,,0.9,925 hPa,
2025-06-04,AIWS 20250604.docx,Trough,Gujarat Region ; Saurashtra & Kutch,south Gujarat & neighbourhood,,1.5,850 hPa,
2025-06-05,AIWS 20250605.docx,WD,,roughly along Long. 78°E to the north of Lat. 24°N,,5.8,500 hPa,
2025-06-05,AIWS 20250605.docx,Trough,Sub-Himalayan West Bengal & Sikkim ; East Uttar Pradesh ; West Rajasthan,north-south trough ran roughly along Long. 88°E to the north of Lat. 22°N at 3.1 km above m. s. l.,,3.1,700 hPa,persisted
2025-06-05,AIWS 20250605.docx,Trough,Marathwada ; Telangana,an upper air cyclonic circulation over north interior Karnataka & adjoining Marathwada and Telangana at 0530 hours IST of today. It persisted over the same region and extended between 3.1 and 4.5 km above m. s. l.,,4.5,600 hPa,persisted
2025-06-05,AIWS 20250605.docx,Trough,Jharkhand ; Bihar,an upper air cyclonic circulation over Jharkhand & adjoining south Bihar at 1.5 km above mean sea level at 0530 hours IST of today. It merged with the above trough.,,1.5,850 hPa,merged
2025-06-05,AIWS 20250605.docx,Trough,Central Pakistan ; Northwest Rajasthan,an upper air cyclonic circulation over central Pakistan & adjoining northwest Rajasthan at 0.9 km above m. s. l. at 0530 hours IST of today.,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,Trough,Vidarbha ; North Interior Karnataka,from east Vidarbha to north interior Karnataka at 1.5 km above m. s. l.,,1.5,850 hPa,
